	W	Reject null hypothesis
d383d75128d7423a9bbdb2076120e365	1966	True
aeb03963939e00b75d7370f4be601417	1950	True
6a125442b3d882bd11b5cfe1866470fd	1930	True
e3bff2e5d94dbb2b69f466ee85a1acf4	1865	True
5a0f522431143dce1339d7359fc37599	1864	True
833bf02443c2dece76422ef394ce48d0	1834	True
df009054f19d9aac55f8a5bc2eeaa409	1756	False
648070229fc4f45e01a9481f1beefe43	1704	False
b222447694e2b10c02a7e80342ae6aca	1324	False
1c75ff6db2be53fea3de5274e3bd48e2	344	False
199efbef007329237d4389aedf30a50c	260	False
bcde22bafd7589392c58a81a4517a806	181	False
cd75d63e750b696fb8d498c6780d9183	46	False
afc3e6543b9af325490ba4bed4a3f654	32	False
c923fa454975cd4424cc1fa448968444	31	False
0b5c5addad44ef1cd9567c96c6f18151	18	False
95126920a496aaf496fa0c4f89e16e5b	15	False
ac050b4e7cf5740eb13fa363e6eb4229	15	False
aa7f3ae3c3f236add91ed7f4b977e680	14	False
cc0bd5200922ab42f317d5a646b3d9f0	14	False
99eb22e4ad181395023ab5ac2c61a078	13	False
22dd678c693a4421b993ac3b448268d5	13	False
3d435939d6a61e1f2ed9e6e23cfd5b4f	13	False
05dd72f2307d6b405cde153c1912d4cf	13	False
afad323d69dda61c121134c55617d5f9	13	False
82b730561a36f3eb58fbf727268b494a	13	False
3c369aeabb732b5b3049f0945f668846	13	False
e643061ae87b5729852bbaebd882a083	13	False
734520ccc94d3959777d4e86750aea06	13	False
3d262f0fe28539355569303bcddd5ce4	13	False
0bb399497f2fba0b4a1efeee0d0440de	13	False
8cea107ae8ad61fb85839ceefc2c86c3	13	False
cee4efff876ebbeda956630f285104c4	13	False
357b23c6c172426066d261516eba72db	13	False
09b823ab653c6d756331bb8f9a028d52	13	False
956203b100d3b67e7a774137c361c5d9	13	False
b0f46623d083e9809b576a048934c6b8	13	False
0aee5d42cf88441166fa853aee7b86cb	13	False
bffa80b816b38e2c0ba5e25b31d9a37c	13	False
7b9d2753d14b62bbc339e0bd56136007	13	False
1fef55f5cba7dcdc695aef16bbbbfbdf	13	False
451ed4f3cb61e24182459373ed8f582f	13	False
b2ce7efcf7a5fa5ff3d0943f2a0b427a	13	False
458d33bc4d365f1625370a5f0fdfacc6	13	False
020e3f9101b8fa8235a2c556be098bbf	12	False
0182133cb1244e92ed02de4137f6c59b	12	False
f33a8cc725de4c9cf08d0c9798c2703c	12	False
0a344d2ec78576137b6f19a9d9462737	12	False
429cbc2b7c2a381bce1d34b3423589cc	12	False
1f034a8300c91190bfe05d5c65a48a4d	12	False
033e175eb7cd0d56ff54f5506d7bf43b	12	False
672564e53cfdf4d8e0eb2546ad09bfe7	12	False
1f43c5e4a5b1777334d248d4e137352f	12	False
6c147f01e54eaf3caf57083f85cb11c0	12	False
5be56e1a46c245d3879d231e645790c0	12	False
9523d2721f1eb835353a28725b51ab70	12	False
d50cf490a2f8a0bb09bc7fdfcfae72f6	12	False
a399d912b2097411e13558f73029c858	12	False
458622dfbcc9c3df805527b96ae402d9	12	False
66cefca0115fc998bf088f286e9a9fd7	12	False
13c379b7aedcc46ceb578eaa0089e1ba	12	False
f20aca543face39a6b8f36ed94b17305	12	False
1ea3834ff23a6b8b2f23409bc21c7c4b	12	False
0af98f3d1c19ec7234b873a98c43242b	12	False
de3758c702d6cf262d528a090247063e	12	False
a98fba4ae98622156d70e7f98b56a164	12	False
638d2ca96fff8ed30643e00412475453	12	False
9a3b8ec650be62d4bf99a58b5ab8d217	12	False
24027e61610a652032861399d39651ae	12	False
a7af2cd99c19580b18306f9e56c81f41	12	False
6543d146adb1ffa4e4d1367751078031	12	False
7a768fd88f027c215b90556cef813a9d	12	False
895abb09dc4204ee836668467ece2296	12	False
9db0ab10b049c66e20fc35017be4ca0a	12	False
6f83c32440b0d79840d3f6a98fcb8d13	12	False
0987bf8d41c6eaea47b694a297faa81a	12	False
8e9df82def23052fb36c59d4a90d91e5	12	False
39b061bee1bcfccb5f4933ab4198e4df	12	False
0e186f839c3ca78d0343f98c579bc09a	12	False
8c1387e626b95be4027227ab8ac5d922	12	False
ebd78ec9543926eb338bd8ae9a314e5f	12	False
e7f31ed53f8126d1c99e506a39a039e2	12	False
5ff37c66133c53c2a89b677686684b20	12	False
92e5290d5287ad0fd987aa0579997678	12	False
7b349b252ea0f13da68cbc8d8c137cf3	12	False
ef978e076501cad72a5cd478b9a1e098	12	False
3e6e73a3e4af362ef1c6677a427317f3	12	False
35abb6fe9260f43facd8f665942e7102	12	False
a9a2d34c5b8ed1d9e8f3c18fea16f936	12	False
366bca3f42ca3f7845d5eb340a3e669e	11	False
33651fe2ea434f81d16cf092202d31bd	11	False
50dec59ff638269ce74f5af0f84419ad	11	False
9063a0ed915b444ee756495d2b0ae0fd	11	False
17dfbd23f50849240917bf2a056d4140	11	False
81fe043da496de58da2066d994d5f979	11	False
6412236d50e7d2a4c8f4169ade10a5eb	11	False
84bf5f19b9babe635ff9083986c16b1d	11	False
ded53c211e44966112a938e3fc025a88	11	False
f5f8149b1375aee1a6215182a2ca3c32	11	False
b38118ad9a968bee9dc8069e078925a7	11	False
06b92112e0304cce01234c30f1b27fb0	11	False
9ddccb4a3b89d174b5bf61af45ae0930	11	False
ead0df3441c78b460abebbc66586dd1a	11	False
9aaf7d6cac2ba549aa734eda24e6c980	11	False
181d7bf97a03f5500b6ce728b0f6620e	11	False
8e9ef90c1c2145a4c5d56811a105383f	11	False
b180afcd030d7b8b3332c0a50e6064d6	11	False
71081bf5c09adcf77e7ff507bd748d75	11	False
ec7573a46bdab61b96daddb2e4e768c2	11	False
89544570b3040f04a0ec838d7d73f9f4	11	False
5445bdc84f8af4e0acd8fc9740dd4a53	11	False
8b85f0c05dc79a14b4c8cc60b29be914	11	False
727faeba3fd32a46d35547a38e31bd3e	11	False
8e1cc1415c7cc3ba1d8aae0705d52689	11	False
b1cf010c3ccebd5dfa883a5fdb1d0a47	11	False
3b0d54024edd315c5bb961334991f902	11	False
dec92aaa8f25ef43a596bfd5e0d3fbfa	11	False
a9be766711f980a37bd937e8a9b7488d	11	False
5d01586d01d56824cad7262c05047d6f	11	False
17ff906e71562979354d2a0be5023050	11	False
f4dc4fb22e5a966b683944bdc9c16926	11	False
75bd4c53d5daad61f5d14d2c79818056	11	False
ac99986532275a4550be033c324628db	11	False
aa07e18a6e7cd391a5f2bd21067447b7	11	False
3230f31990dacad414713f1cdd317ad3	11	False
778e8d13740e4b5c89bb310db0b54960	11	False
28bb61dea4251c41e9aa503b3b22a72b	11	False
80c543f6e6432d97ec006fbdb88fa55a	11	False
ea7b36a0faf9a26a44ca41fe40200759	11	False
779fbc3c9e4226ef2c810c3389ec84a7	11	False
4fde09be0412f4e9bffb98f964341107	11	False
f66e35e1f19d6d12a9679a9bf97b695e	11	False
65a92d86bdab5de4825a4c1568c1e155	11	False
5f7c6f12c5b24edcd3470ce97dc2aab4	11	False
b7731a4bf11cb0866a7a8dcb26195836	11	False
