Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	p_value_bonferroni
1	1.40949410609799	1.40949410609799	3.12829321373543	0.0332850817596141	0.001	0.025
2	0.837437544477045	0.418718772238523	0.92932285987604	0.0197760153915472	0.67	1.0
1	0.372842720456306	0.372842720456306	0.827503532755485	0.0088046486893236	0.807	1.0
1	0.681791395942889	0.681791395942889	1.51319781181339	0.0161004450169605	0.01	0.25
1	0.382976989998739	0.382976989998739	0.849995976319882	0.0090439685905807	0.768	1.0
2	0.763920088347449	0.381960044173725	0.847738922026881	0.0180399070052506	0.866	1.0
1	0.463024370526448	0.463024370526448	1.02765665343712	0.010934280578393	0.387	1.0
2	0.738428629305008	0.369214314652504	0.819450489324084	0.017437928398367	0.923	1.0
2	0.951541328756	0.475770664378	1.05594633863948	0.0224705664168939	0.301	1.0
1	0.514082398252691	0.514082398252691	1.14097708588994	0.0121400114998635	0.193	1.0
1	0.402660494432649	0.402660494432649	0.893682411812398	0.0095087928502665	0.698	1.0
2	1.04149641344543	0.520748206722713	1.15577147439474	0.0245948479840368	0.124	1.0
1	0.40818078109044	0.40818078109044	0.905934378822924	0.0096391539436163	0.667	1.0
1	0.368880506260661	0.368880506260661	0.818709620297124	0.008711081342798	0.85	1.0
2	0.845415172137901	0.422707586068951	0.938175808733787	0.0199644063807614	0.664	1.0
2	0.747713767443694	0.373856883721847	0.829754411313605	0.0176571961347543	0.914	1.0
2	1.04569512531064	0.522847562655318	1.16043087728885	0.0246940002026335	0.129	1.0
1	0.352456656330505	0.352456656330505	0.782257805381663	0.0083232335431032	0.898	1.0
2	0.849026463711446	0.424513231855723	0.942183338411799	0.02004968671983	0.658	1.0
2	0.889280145534537	0.444640072767268	0.986853734382325	0.0210002739445728	0.548	1.0
1	0.452941230051813	0.452941230051813	1.00527768797464	0.0106961680856626	0.465	1.0
2	0.895230123693786	0.447615061846893	0.99345655599645	0.0211407821656727	0.476	1.0
2	0.798933482828298	0.399466741414149	0.886594055890302	0.0188667452963329	0.818	1.0
58	26.1326712581607	0.450563297554495		0.617120778059165		
93	42.3461211925931			1.0		
