Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	p_value_bh	reject_null
1	1.16665934357461	1.16665934357461	2.94184086101281	0.0313423936394563	0.001	0.023	True
2	0.796030503708529	0.398015251854264	1.00363275506248	0.02138542114599	0.435	0.9468333333333333	False
1	0.34796450656173	0.34796450656173	0.877425110614553	0.0093480934235704	0.9	0.996	False
1	0.394367322699034	0.394367322699034	0.994434159854687	0.0105947086736558	0.494	0.9468333333333333	False
1	0.414145970873221	0.414145970873221	1.04430787465831	0.0111260635889924	0.326	0.9468333333333333	False
2	0.684293845220243	0.342146922610121	0.862755527522048	0.0183836071601121	0.981	0.996	False
1	0.32010597056982	0.32010597056982	0.807177201522352	0.0085996716961088	0.985	0.996	False
2	0.731014125441219	0.36550706272061	0.921660309860186	0.0196387511073975	0.841	0.996	False
2	0.843092372989007	0.421546186494504	1.06296821181233	0.0226497419098198	0.199	0.9468333333333333	False
1	0.372912950849057	0.372912950849057	0.940334950772589	0.0100183353119606	0.687	0.996	False
1	0.42563438287468	0.42563438287468	1.07327698208472	0.0114347006673522	0.214	0.9468333333333333	False
2	0.799863830662763	0.399931915331381	1.00846580162817	0.0214884037715611	0.425	0.9468333333333333	False
1	0.371072522762332	0.371072522762332	0.935694138887696	0.0099688920688434	0.705	0.996	False
1	0.393952839552922	0.393952839552922	0.993389001761068	0.0105835735518279	0.48	0.9468333333333333	False
2	0.665909152374217	0.332954576187109	0.839576164613123	0.0178897009626483	0.996	0.996	False
2	0.742129102420432	0.371064551210216	0.935674037872031	0.0199373558249567	0.808	0.996	False
2	0.765686698641151	0.382843349320575	0.965375381083757	0.0205702324722965	0.685	0.996	False
1	0.335716457463819	0.335716457463819	0.846540507064793	0.0090190486357698	0.952	0.996	False
2	0.800409272799541	0.400204636399771	1.00915349335847	0.0215030571168179	0.442	0.9468333333333333	False
2	0.763490798242991	0.381745399121495	0.962606796769235	0.0205112394379963	0.675	0.996	False
1	0.403005082104665	0.403005082104665	1.01621507962963	0.0108267627492052	0.401	0.9468333333333333	False
2	0.807443044286245	0.403721522143123	1.0180216503233	0.0216920199326736	0.388	0.9468333333333333	False
2	0.876818950610108	0.438409475305054	1.10549057478586	0.0235558090302127	0.087	0.9468333333333333	False
