Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	p_value_bh	reject_null
1	1.10431582131417	1.10431582131417	5.72581955505087	0.0587071842947557	0.001	0.023	True
2	0.495915529370259	0.247957764685129	1.28564799168707	0.0263636577647912	0.103	0.7896666666666666	False
1	0.193511190450749	0.193511190450749	1.00334536281976	0.0102873624570282	0.433	0.843923076923077	False
1	0.193505982950966	0.193505982950966	1.00331836220679	0.0102870856180628	0.425	0.843923076923077	False
1	0.171592652465797	0.171592652465797	0.889698894128397	0.0091221381397465	0.608	0.874	False
2	0.356246812574267	0.178123406287134	0.923560509816317	0.0189386467861415	0.608	0.874	False
1	0.103084269368906	0.103084269368906	0.534486524577911	0.0054801236049745	0.989	0.989	False
2	0.375922033442039	0.18796101672102	0.9745680034247	0.0199846127998763	0.516	0.8477142857142856	False
2	0.427141453199237	0.213570726599619	1.10735300459181	0.0227075185638976	0.247	0.843923076923077	False
1	0.230706446270376	0.230706446270376	1.19620081143019	0.0122647213756887	0.216	0.843923076923077	False
1	0.389194070095704	0.389194070095704	2.0179508200941	0.0206901753633704	0.01	0.115	False
2	0.401625648783094	0.200812824391547	1.04120395145457	0.0213510578455274	0.377	0.843923076923077	False
1	0.148703157562228	0.148703157562228	0.771018064790894	0.0079052962094022	0.797	0.9637	False
1	0.144439185543651	0.144439185543651	0.748909593740369	0.0076786166796057	0.838	0.9637	False
2	0.260192546966358	0.130096273483179	0.674542347734154	0.0138322493548068	0.963	0.989	False
2	0.431015806978463	0.215507903489232	1.11739716505936	0.0229134853688189	0.258	0.843923076923077	False
2	0.346350002788451	0.173175001394226	0.897903290246283	0.0184125166476322	0.648	0.8767058823529412	False
1	0.117187430848501	0.117187430848501	0.607610676409595	0.0062298700852305	0.959	0.989	False
2	0.384806622298924	0.192403311149462	0.997601066808142	0.0204569316649484	0.46	0.843923076923077	False
2	0.394148014436091	0.197074007218045	1.02181838070424	0.0209535349184576	0.4	0.843923076923077	False
1	0.14500810529425	0.14500810529425	0.751859412777967	0.0077088613578062	0.812	0.9637	False
2	0.380201092807449	0.190100546403725	0.985661352500569	0.0202120943970107	0.477	0.843923076923077	False
2	0.429532841398077	0.214766420699038	1.11355261572132	0.0228346485614942	0.267	0.843923076923077	False
