Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	5.26227566418729	5.26227566418729	14.6153733150877	0.127196672756758	0.001
Stool_Consistency	2	0.905771671618965	0.452885835809482	1.25783900005804	0.0218937870722614	0.25
Patient_Sex	1	0.25149503378968	0.25149503378968	0.698498908132445	0.00607899197121143	0.574
Sample_Day	1	0.786351911438068	0.786351911438068	2.18400317203357	0.0190072419488664	0.071
Recovery_Day	1	0.199680642855752	0.199680642855752	0.554590318974527	0.00482656459030352	0.692
Cohort_Number:Stool_Consistency	2	0.709937268152676	0.354968634076338	0.985885087221798	0.0171601915478499	0.408
Cohort_Number:Patient_Sex	1	0.184616491029663	0.184616491029663	0.512751347270361	0.00446244265666531	0.764
Stool_Consistency:Patient_Sex	2	0.491078958427174	0.245539479213587	0.681958031336433	0.0118700755260487	0.699
Stool_Consistency:Sample_Day	2	1.87144834883691	0.935724174418457	2.59886767661194	0.045235563166748	0.016
Patient_Sex:Sample_Day	1	0.281215331375977	0.281215331375977	0.78104366100721	0.00679737375269903	0.52
Cohort_Number:Recovery_Day	1	0.682246647524108	0.682246647524108	1.89486261892208	0.0164908699396161	0.107
Stool_Consistency:Recovery_Day	2	1.00240128528441	0.501200642642206	1.39202789162681	0.0242294620031022	0.226
Patient_Sex:Recovery_Day	1	0.616474360281504	0.616474360281504	1.71218755718408	0.0149010603912877	0.144
Sample_Day:Recovery_Day	1	0.164353806667807	0.164353806667807	0.456474041554552	0.00397266481216947	0.81
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.441572116882444	0.220786058441222	0.61320821500209	0.0106734248895111	0.767
Stool_Consistency:Patient_Sex:Sample_Day	2	0.886007999472049	0.443003999736025	1.23039332209119	0.0214160710613631	0.285
Cohort_Number:Stool_Consistency:Recovery_Day	2	1.03141092354293	0.515705461771463	1.43231338025764	0.0249306661398358	0.186
Cohort_Number:Patient_Sex:Recovery_Day	1	0.348698604964257	0.348698604964257	0.968470793099356	0.00842854026979729	0.372
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.652855749150643	0.326427874575321	0.906616367484761	0.0157804502046944	0.5
Stool_Consistency:Sample_Day:Recovery_Day	2	0.549520461015646	0.274760230507823	0.763115351090519	0.0132826896030247	0.6
Patient_Sex:Sample_Day:Recovery_Day	1	0.579897370037465	0.579897370037465	1.61059911878334	0.0140169426149878	0.181
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.705723818579116	0.352861909289558	0.980033898269368	0.0170583464905428	0.44
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	1.88319772721013	0.941598863605067	2.61518395896802	0.0455195623206131	0.011
Residuals	58	20.8829416767472	0.360050718564606	NA	0.504770344270042	NA
Total	93	41.3711738690718	NA	NA	1	NA
