metagene,log2foldchange_After abduction,q-value_After abduction
EC:1.1.1.1,0.4078257242184666,1.0
EC:1.1.1.100,0.1193709045218026,1.0
EC:1.1.1.103,-1.6871522882672143,0.0405281843548897
EC:1.1.1.108,1.77522722543931,1.0
EC:1.1.1.11,0.6090279238250638,1.0
EC:1.1.1.122,-0.3492490940039656,1.0
EC:1.1.1.125,-0.8661320118502198,1.0
EC:1.1.1.130,-1.5510389632325323,1.0
EC:1.1.1.132,-0.3061490719738027,1.0
EC:1.1.1.133,-0.3297391483877709,1.0
EC:1.1.1.136,-1.7105226049856346,1.0
EC:1.1.1.137,1.5857349287439382,0.5265274863947796
EC:1.1.1.14,-1.845815895190714,0.000926870907266726
EC:1.1.1.140,0.3051914429727582,1.0
EC:1.1.1.157,-0.7446788663634074,1.0
EC:1.1.1.159,-2.5631776691982444,3.5354750510679736e-06
EC:1.1.1.169,0.2662599053665336,1.0
EC:1.1.1.17,0.2099898615040162,1.0
EC:1.1.1.179,-2.183578410639764,0.2446808281461703
EC:1.1.1.18,-0.8175627157638805,1.0
EC:1.1.1.193,-0.1001770483448142,1.0
EC:1.1.1.202,-0.4324488527615144,1.0
EC:1.1.1.203,0.2741049422785869,1.0
EC:1.1.1.205,0.14678972393505,1.0
EC:1.1.1.206,-0.6788211180861776,1.0
EC:1.1.1.215,-0.624044649645036,1.0
EC:1.1.1.219,-2.0882865726774043,0.2005009260346232
EC:1.1.1.22,-1.081417590755024,0.2311375807835597
EC:1.1.1.23,-0.3261738121906228,1.0
EC:1.1.1.243,-0.6349348437803037,1.0
EC:1.1.1.25,-0.2924724218407988,1.0
EC:1.1.1.251,-0.4057945638046403,1.0
EC:1.1.1.26,-1.6677105966470471,1.0
EC:1.1.1.261,-2.384744481225895,0.0002618629323089479
EC:1.1.1.262,-1.545316076920086,0.1693459871393907
EC:1.1.1.264,0.2477869959446135,1.0
EC:1.1.1.267,-1.5752034983303007,0.0001104736196524204
EC:1.1.1.27,0.0268423706185519,1.0
EC:1.1.1.271,-1.493693419184043,1.0
EC:1.1.1.275,-0.567270164403193,1.0
EC:1.1.1.28,0.2644472456431307,1.0
EC:1.1.1.281,-0.9675804176408098,1.0
EC:1.1.1.282,-0.5174645728376879,1.0
EC:1.1.1.284,-0.2253568057807023,1.0
EC:1.1.1.287,-1.0021552897259216,1.0
EC:1.1.1.289,-0.6794616211547595,1.0
EC:1.1.1.29,-1.2831966764481226,1.0
EC:1.1.1.290,-0.7736141745189538,1.0
EC:1.1.1.291,0.2065770790561415,1.0
EC:1.1.1.3,-0.2232438002372434,1.0
EC:1.1.1.30,0.0284882591089223,1.0
EC:1.1.1.300,-0.0717197821235279,1.0
EC:1.1.1.301,0.98214762506996,1.0
EC:1.1.1.302,-1.0458433410060046,1.0
EC:1.1.1.303,0.152438524922623,1.0
EC:1.1.1.304,0.998968287569936,1.0
EC:1.1.1.305,-0.83252348251062,1.0
EC:1.1.1.306,-0.3326573500565211,1.0
EC:1.1.1.308,-1.1135854585368443,1.0
EC:1.1.1.31,-0.4738854402695844,1.0
EC:1.1.1.310,-0.7007979107640172,1.0
EC:1.1.1.328,-0.3506165053498946,1.0
EC:1.1.1.333,-0.1939114110737811,1.0
EC:1.1.1.335,0.3984716475877982,1.0
EC:1.1.1.336,-0.7561829563122762,1.0
EC:1.1.1.337,-2.183578410639764,0.2446808281461703
EC:1.1.1.343,0.8253180948496904,1.0
EC:1.1.1.346,-0.1082926638381781,1.0
EC:1.1.1.35,-0.3668200804844614,1.0
EC:1.1.1.350,-1.772731260772118,0.2810730991778637
EC:1.1.1.36,0.8300433555985941,1.0
EC:1.1.1.363,1.0350706669865166,1.0
EC:1.1.1.367,-1.7339743610485223,1.0
EC:1.1.1.369,-0.8180529015969524,1.0
EC:1.1.1.37,0.454029577804082,1.0
EC:1.1.1.370,-1.7978436483551632,1.0
EC:1.1.1.371,0.7487403336489569,1.0
EC:1.1.1.373,-0.7262374085725178,1.0
