metagene,log2foldchange_M,q-value_M
EC:1.1.1.1,-0.027560017492802,1
EC:1.1.1.100,0.06586595170938,1
EC:1.1.1.103,0.0208167666998466,1
EC:1.1.1.108,-0.2117559644802671,1
EC:1.1.1.11,0.5543007123240811,1
EC:1.1.1.122,-0.7893773050686101,1
EC:1.1.1.125,-0.2292447561315315,1
EC:1.1.1.130,0.4540233462966325,1
EC:1.1.1.132,-0.6697711554957495,1
EC:1.1.1.133,0.2524029641886302,1
EC:1.1.1.136,-0.1737824431028175,1
EC:1.1.1.137,-0.0747464957887234,1
EC:1.1.1.14,0.4775841226189699,1
EC:1.1.1.140,0.29807210470012,1
EC:1.1.1.157,0.2110869424227685,1
EC:1.1.1.159,-0.0983808986353187,1
EC:1.1.1.169,-0.005725425197416,1
EC:1.1.1.17,0.4620963406541212,1
EC:1.1.1.179,-0.8969547952784289,1
EC:1.1.1.18,-0.4083454172393295,1
EC:1.1.1.193,0.0498386430548853,1
EC:1.1.1.202,0.0904126243069093,1
EC:1.1.1.203,-0.480150531146316,1
EC:1.1.1.205,-0.0198621353575418,1
EC:1.1.1.206,0.1180551557477879,1
EC:1.1.1.215,0.6301789079492379,1
EC:1.1.1.219,-0.2743440335474538,1
EC:1.1.1.22,0.4402503699626378,1
EC:1.1.1.23,-0.0634485704472611,1
EC:1.1.1.243,-0.6464198968379198,1
EC:1.1.1.25,0.1709824031466469,1
EC:1.1.1.251,0.5087870720012009,1
EC:1.1.1.26,-0.2232306813704863,1
EC:1.1.1.261,-0.1379464668932923,1
EC:1.1.1.262,0.1496027100332681,1
EC:1.1.1.264,0.0072996575336322,1
EC:1.1.1.267,0.3740089046618656,1
EC:1.1.1.27,0.013312318442651,1
EC:1.1.1.271,0.2896377844885867,1
EC:1.1.1.275,-0.6682139303834274,1
EC:1.1.1.28,-0.0785466691471962,1
EC:1.1.1.281,0.0077886426644485,1
EC:1.1.1.282,-0.2194642904305982,1
EC:1.1.1.284,0.5188874865766968,1
EC:1.1.1.287,-0.0372961128877653,1
EC:1.1.1.289,0.2283999927875579,1
EC:1.1.1.29,0.2845979268032551,1
EC:1.1.1.290,0.1113260152997683,1
EC:1.1.1.291,0.3897814461014262,1
EC:1.1.1.3,0.0424906721184298,1
EC:1.1.1.30,0.5936387422766543,1
EC:1.1.1.300,-0.388308495548967,1
EC:1.1.1.301,0.760681386423435,1
EC:1.1.1.302,0.5118071639235215,1
EC:1.1.1.303,-0.9375005694097908,1
EC:1.1.1.304,-0.2885273611664526,1
EC:1.1.1.305,0.4104520451430355,1
EC:1.1.1.306,-0.6884847819724484,1
EC:1.1.1.308,0.3348473150114539,1
EC:1.1.1.31,0.314794517610565,1
EC:1.1.1.310,0.5670896170856488,1
EC:1.1.1.328,-0.676685667888598,1
EC:1.1.1.333,-0.4903413187854986,1
EC:1.1.1.335,0.4568307987088357,1
EC:1.1.1.336,0.2772344635747995,1
EC:1.1.1.337,-0.8969547952784289,1
EC:1.1.1.343,-0.3082809999356554,1
EC:1.1.1.346,0.1961131002331161,1
EC:1.1.1.35,-0.1239622485230476,1
EC:1.1.1.350,-0.2867084732075767,1
EC:1.1.1.36,0.1475217836400225,1
EC:1.1.1.363,-0.3412350235109598,1
EC:1.1.1.367,-0.0813919576228905,1
EC:1.1.1.369,-0.4140343976915714,1
EC:1.1.1.37,-0.5164418060997369,1
EC:1.1.1.370,-1.0894521328737643,1
EC:1.1.1.371,0.0936503219580717,1
EC:1.1.1.373,0.548210708863371,1
EC:1.1.1.38,0.1479489078957333,1
EC:1.1.1.380,-0.0361281585893544,1
EC:1.1.1.381,0.3339568295404215,1
EC:1.1.1.385,0.2783303675421444,1
EC:1.1.1.39,0.092088542652871,1
EC:1.1.1.4,-0.9124928427138655,1
EC:1.1.1.40,-0.1810675596472074,1
EC:1.1.1.41,0.3952985330837831,1
EC:1.1.1.42,-0.0160511297369787,1
EC:1.1.1.44,-0.3314199426601951,1
EC:1.1.1.47,-0.4403164797843534,1
EC:1.1.1.49,-0.3445491040763584,1
EC:1.1.1.53,-0.6358486759509523,1
EC:1.1.1.56,0.142186532314013,1
EC:1.1.1.57,0.4264820528898021,1
EC:1.1.1.58,0.2193088948991211,1
EC:1.1.1.6,-0.0412662010791154,1
EC:1.1.1.60,0.4405674628167137,1
EC:1.1.1.61,0.5247464126513686,1
EC:1.1.1.67,0.6133237313899431,1
EC:1.1.1.69,0.2247852029667578,1
EC:1.1.1.76,-0.3282518090020751,1
EC:1.1.1.77,0.4292106390753268,1
EC:1.1.1.79,0.3358199714481572,1
EC:1.1.1.81,0.9145074313358984,1
EC:1.1.1.83,-0.1343356447882578,1
EC:1.1.1.85,-0.1561359416214909,1
EC:1.1.1.86,-0.1518467195909504,1
EC:1.1.1.88,-0.1566106253704258,1
EC:1.1.1.90,-0.2894264672265674,1
EC:1.1.1.93,-0.119941722259925,1
EC:1.1.1.94,0.0479277833657491,1
EC:1.1.1.95,0.0898270568885094,1
EC:1.1.2.3,-0.0946001927627595,1
EC:1.1.2.4,0.3253998482840528,1
EC:1.1.2.8,-0.3766003297803961,1
EC:1.1.3.15,-0.255674269359478,1
EC:1.1.3.21,0.3833339728343197,1
EC:1.1.3.41,-0.5432197926355693,1
EC:1.1.3.45,-0.0874070739548585,1
EC:1.1.3.46,-0.0870161244721564,1
EC:1.1.3.6,-0.8017805841739274,1
EC:1.1.3.8,-0.1820006867951033,1
EC:1.1.5.2,0.8004645406050257,1
EC:1.1.5.3,-0.2078160558418471,1
EC:1.1.5.4,0.1156488620109904,1
EC:1.1.5.6,0.542398929050846,1
EC:1.1.5.8,0.9477366831773052,1
EC:1.1.98.2,-0.6557330605109974,1
EC:1.1.98.3,-0.4681458985337075,1
EC:1.1.99.1,-0.2728387945019213,1
EC:1.1.99.3,0.5712721810815033,1
EC:1.10.2.2,0.0582292943420036,1
EC:1.10.3.12,0.128818444727441,1
EC:1.11.1.1,0.1694253535694548,1
EC:1.11.1.10,-0.0621726763745886,1
EC:1.11.1.15,-0.0621321695988361,1
EC:1.11.1.19,-0.4692351519209763,1
EC:1.11.1.21,-0.1848494409443322,1
EC:1.11.1.5,-0.4731128870499981,1
EC:1.11.1.6,-0.5710493094552935,1
EC:1.11.1.9,-0.1489312355638892,1
EC:1.11.2.4,0.3711390160119515,1
EC:1.12.1.3,0.4934539116147117,1
EC:1.12.5.1,0.0522167910441598,1
EC:1.12.7.2,0.3832808152746039,1
EC:1.12.99.6,-0.3094336788425119,1
EC:1.13.11.1,-0.6173204889955541,1
EC:1.13.11.11,-0.6589982261634628,1
EC:1.13.11.15,0.8633075476225633,1
EC:1.13.11.16,-0.7466859707053872,1
EC:1.13.11.2,-0.2099350607743482,1
EC:1.13.11.24,-0.1260504796990668,1
EC:1.13.11.25,-0.6442899250764178,1
EC:1.13.11.27,-0.7575478624443326,1
EC:1.13.11.3,-0.5048467121745535,1
EC:1.13.11.37,0.3179552354818483,1
EC:1.13.11.4,-0.5224301901159194,1
EC:1.13.11.46,-0.4437226257727272,1
EC:1.13.11.49,-1.1353330750038075,1
EC:1.13.11.5,-0.7275940262081853,1
EC:1.13.11.53,0.8860073888047795,1
EC:1.13.11.54,0.8860073888047795,1
EC:1.13.11.79,-0.5212227904798596,1
EC:1.13.11.8,-0.6033347200229437,1
EC:1.13.11.9,-0.5816741410386725,1
EC:1.13.12.16,-0.6939474419073999,1
EC:1.13.12.3,-0.109096710730013,1
EC:1.14.11.1,0.0553439253573642,1
EC:1.14.11.17,-0.1168395623553953,1
EC:1.14.11.33,0.2859603329735841,1
EC:1.14.11.39,-0.2327974905424695,1
EC:1.14.11.47,0.660707613103789,1
EC:1.14.12.10,-0.6976594293029803,1
EC:1.14.12.17,-0.3586475363903534,1
EC:1.14.12.19,-0.2017442090294927,1
EC:1.14.13.1,-0.4491510121728589,1
EC:1.14.13.10,-0.605725912935329,1
EC:1.14.13.106,-0.0663655105217943,1
EC:1.14.13.113,0.8403961752855482,1
EC:1.14.13.127,-0.6781782507523424,1
EC:1.14.13.133,-0.6243584876000474,1
EC:1.14.13.141,-0.6414341755089417,1
EC:1.14.13.142,-1.064989062548374,1
EC:1.14.13.149,-0.0500897148278549,1
EC:1.14.13.165,-0.5584372113082894,1
EC:1.14.13.2,-0.7286283190373628,1
EC:1.14.13.20,-0.5390840390983564,1
EC:1.14.13.200,-0.000767998895175287,1
EC:1.14.13.22,0.0259400363214979,1
EC:1.14.13.40,-0.508498389274475,1
EC:1.14.13.50,-0.9337814404018304,1
EC:1.14.13.59,-0.2427096163139902,1
EC:1.14.13.7,-0.3845780107582279,1
EC:1.14.13.82,-0.0155679081927521,1
EC:1.14.13.83,-0.564447972235163,1
