metagene,log2foldchange_After abduction,q-value_After abduction,enzyme_class
EC:1.1.1.103,-1.6871522882672143,0.0405281843548897,Oxidoreductases
EC:1.1.1.14,-1.845815895190714,0.000926870907266726,Oxidoreductases
EC:1.1.1.159,-2.5631776691982444,3.5354750510679736e-06,Oxidoreductases
EC:1.1.1.261,-2.384744481225895,0.0002618629323089479,Oxidoreductases
EC:1.1.1.267,-1.5752034983303007,0.0001104736196524204,Oxidoreductases
EC:1.1.1.41,-2.8340437323271983,6.36656563899248e-08,Oxidoreductases
EC:1.1.1.60,-2.1544603824740065,8.875143407986837e-07,Oxidoreductases
EC:1.1.1.61,-1.8356658098660172,0.0486223057155338,Oxidoreductases
EC:1.11.1.10,-1.819874581123464,0.00032746905855187764,Oxidoreductases
EC:1.12.1.3,-2.120598472632313,0.0177608879588952,Oxidoreductases
EC:1.12.7.2,-2.9230409766408645,6.252404776184335e-07,Oxidoreductases
EC:1.15.1.2,-2.21130162204942,7.593826312147306e-05,Oxidoreductases
EC:1.16.3.1,-1.5545740400206016,0.0233869798325065,Oxidoreductases
EC:1.17.1.2,-1.6250170914904336,3.307630073402239e-05,Oxidoreductases
EC:1.17.1.4,-1.8717976399859808,1.3522996906030496e-05,Oxidoreductases
EC:1.17.7.1,-1.5447881535324974,0.00012788286677214484,Oxidoreductases
EC:1.17.7.3,-1.5447895595100904,0.00012788286677214484,Oxidoreductases
EC:1.18.1.2,-1.899229612563828,2.655687632193102e-06,Oxidoreductases
EC:1.2.1.2,-1.4376661740069054,0.0225244982684562,Oxidoreductases
EC:1.2.1.87,-2.1771578379847187,0.00011331569468306438,Oxidoreductases
EC:1.2.7.4,-2.6693041763065204,5.323114361218491e-09,Oxidoreductases
EC:1.2.7.5,-2.394161431361388,0.037856221934974,Oxidoreductases
EC:1.2.7.8,-2.496369952613599,1.8811892115070208e-06,Oxidoreductases
EC:1.2.99.2,-2.096938376649592,6.064703905373378e-07,Oxidoreductases
EC:1.2.99.5,-2.74025751375514,1.8664909643979884e-05,Oxidoreductases
