Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	0.381532202561891	0.381532202561891	7.1830287729666	0.0648739556040282	0.001
Stool_Consistency	2	0.124258409304646	0.0621292046523232	1.16969383360707	0.0211283201641391	0.219
Patient_Sex	1	0.0624394312971095	0.0624394312971095	1.17553440722229	0.0106169095733206	0.238
Sample_Day	1	0.124923578649848	0.124923578649848	2.35191067448168	0.0212414224561082	0.012
Recovery_Day	1	0.0368719111084213	0.0368719111084213	0.694179931936658	0.00626952773113658	0.78
Cohort_Number:Stool_Consistency	2	0.102485279984237	0.0512426399921183	0.964734706519161	0.0174261188416599	0.493
Cohort_Number:Patient_Sex	1	0.0689028218913708	0.0689028218913708	1.29721934049334	0.011715914353646	0.193
Stool_Consistency:Patient_Sex	2	0.0910567989958061	0.045528399497903	0.85715386901714	0.0154828732563946	0.681
Stool_Consistency:Sample_Day	2	0.128221928537361	0.0641109642686805	1.20700401673136	0.0218022584818283	0.231
Patient_Sex:Sample_Day	1	0.0672684182342027	0.0672684182342027	1.26644875699541	0.0114380079814389	0.19
Cohort_Number:Recovery_Day	1	0.0737578588920487	0.0737578588920487	1.38862412948761	0.0125414421930341	0.138
Stool_Consistency:Recovery_Day	2	0.0720794589565918	0.0360397294782959	0.678512618526711	0.0122560548989407	0.892
Patient_Sex:Recovery_Day	1	0.0564330682341787	0.0564330682341787	1.06245383784384	0.00959561562206357	0.36
Sample_Day:Recovery_Day	1	0.0372567999464299	0.0372567999464299	0.701426155398914	0.00633497243337088	0.74
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.0797823972337115	0.0398911986168557	0.7510234405614	0.0135658265838862	0.844
Stool_Consistency:Patient_Sex:Sample_Day	2	0.0883895903662317	0.0441947951831159	0.832046373239467	0.0150293535454507	0.672
Cohort_Number:Stool_Consistency:Recovery_Day	2	0.195614719871699	0.0978073599358497	1.84139916869309	0.0332614142849251	0.03
Cohort_Number:Patient_Sex:Recovery_Day	1	0.0393547626651058	0.0393547626651058	0.740924070572708	0.00669170022556349	0.748
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.0953148635487728	0.0476574317743864	0.89723672440357	0.0162068946860758	0.567
Stool_Consistency:Sample_Day:Recovery_Day	2	0.118933155335285	0.0594665776676425	1.11956509974342	0.0202228388252933	0.299
Patient_Sex:Sample_Day:Recovery_Day	1	0.0831696375104247	0.0831696375104247	1.56581776128759	0.0141417771166489	0.105
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.105359181169124	0.0526795905845618	0.991787881537013	0.0179147835903412	0.438
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	0.195198341237619	0.0975991706188095	1.8374796309857	0.0331906152046892	0.013
Residuals	65	3.45252594001244	0.053115783692499	NA	0.587051402346016	NA
Total	100	5.88113055554455	NA	NA	1	NA
