Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	0.45669509144638	0.45669509144638	6.365497960128	0.0598842567443725	0.001
Stool_Consistency	2	0.130342558996635	0.0651712794983177	0.908368963177657	0.0170912002643879	0.527
Patient_Sex	1	0.0572189904308026	0.0572189904308026	0.797528534222534	0.00750285426269855	0.611
Sample_Day	1	0.175891611254794	0.175891611254794	2.45160877271542	0.0230638309998129	0.012
Recovery_Day	1	0.0786538437143812	0.0786538437143812	1.09629135740099	0.0103135046974263	0.301
Cohort_Number:Stool_Consistency	2	0.0943067372516255	0.0471533686258128	0.6572320951604	0.0123659942313251	0.896
Cohort_Number:Patient_Sex	1	0.0731042028045932	0.0731042028045932	1.018939468685	0.00958580666146031	0.384
Stool_Consistency:Patient_Sex	2	0.138405681136096	0.0692028405680479	0.964561583256456	0.0181484791478361	0.502
Stool_Consistency:Sample_Day	2	0.142445239037529	0.0712226195187643	0.992713623931945	0.0186781671760937	0.453
Patient_Sex:Sample_Day	1	0.0822193223497947	0.0822193223497947	1.14598763705384	0.0107810289647519	0.279
Cohort_Number:Recovery_Day	1	0.0872261151559623	0.0872261151559623	1.21577321169951	0.0114375459089582	0.221
Stool_Consistency:Recovery_Day	2	0.126486764726274	0.0632433823631369	0.881497587699405	0.0165856082876742	0.595
Patient_Sex:Recovery_Day	1	0.0603896515915485	0.0603896515915485	0.841721777217691	0.00791860799107382	0.553
Sample_Day:Recovery_Day	1	0.069961002384521	0.069961002384521	0.975128978410456	0.00917365372949317	0.405
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.0875238523593527	0.0437619261796763	0.609961563076506	0.0114765867733426	0.957
Stool_Consistency:Patient_Sex:Sample_Day	2	0.100671134190468	0.0503355670952339	0.701586147229736	0.0132005273529789	0.847
Cohort_Number:Stool_Consistency:Recovery_Day	2	0.222522154958155	0.111261077479077	1.55077682024499	0.0291782725682956	0.045
Cohort_Number:Patient_Sex:Recovery_Day	1	0.0334481102253057	0.0334481102253057	0.466205749518808	0.00438589172045316	0.978
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.125528594242239	0.0627642971211197	0.874820011811455	0.0164599679461302	0.603
Stool_Consistency:Sample_Day:Recovery_Day	2	0.155148827861762	0.0775744139308809	1.08124607179651	0.0203439284005378	0.342
Patient_Sex:Sample_Day:Recovery_Day	1	0.139875671920858	0.139875671920858	1.9496121612866	0.0183412320528165	0.04
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.102550772653696	0.051275386326848	0.71468551596344	0.0134469954110482	0.854
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	0.222230547701889	0.111115273850944	1.54874458316856	0.029140035494743	0.064
Residuals	65	4.66344991860115	0.0717453833630946	NA	0.611496023212289	NA
Total	100	7.62629639699581	NA	NA	1	NA
