metagene,log2foldchange_After abduction,q-value_After abduction
K00001,1.0057493383488052,1.0
K00003,0.0293283046846386,1.0
K00004,0.6876864232109315,1.0
K00005,0.6252906687644367,1.0
K00007,1.15945280103072,1.0
K00008,-1.319561706888738,1.0
K00009,0.7677742372088425,1.0
K00010,-0.2441206651706358,1.0
K00012,-0.5720752978189763,1.0
K00013,0.2563424794818341,1.0
K00014,0.2900872573312527,1.0
K00015,-1.1172857194413917,1.0
K00016,0.5973756224176796,1.0
K00018,-0.7311681573755902,1.0
K00019,0.6033949855773991,1.0
K00020,0.0734746709201714,1.0
K00023,1.5346986722019604,0.1935146777161152
K00024,1.0021940264568672,1.0
K00027,0.6131015564616786,1.0
K00028,1.432149917313912,1.0
K00029,-0.2046488624650793,1.0
K00030,-2.254678855144932,0.0368950986625365
K00031,0.0700701933885894,1.0
K00033,1.3971092318078515,0.4688804110921228
K00034,1.635647919042857,1.0
K00036,1.5868907249154416,0.062780773217459
K00038,-0.0361164383644494,1.0
K00040,-0.4149658431854262,1.0
K00041,-0.3931523451790883,1.0
K00042,-1.6414904719325394,0.0125490769265644
K00045,0.7388698893785451,1.0
K00046,-0.4897069957941296,1.0
K00048,-0.5541835326743407,1.0
K00050,-1.1923104504295754,1.0
K00052,0.0849868350004079,1.0
K00053,0.0845603642810755,1.0
K00054,1.5438849046694616,0.5866964876373576
K00055,0.6260111277572424,1.0
K00057,0.7507932679825142,1.0
K00058,0.2918402322439068,1.0
K00059,0.6433755357374649,1.0
K00060,-1.1667645433437688,1.0
K00064,0.2012960337444782,1.0
K00065,-0.3576419919513025,1.0
K00066,0.2442758052318538,1.0
K00067,0.1837433801370842,1.0
K00068,1.016669984010425,1.0
K00073,-1.409017442492777,1.0
K00074,-0.1417622850567303,1.0
K00075,0.7230148755416124,1.0
K00076,-2.0081295329276814,0.0252879892426307
K00077,0.7616700440501579,1.0
K00078,-1.633153533434108,1.0
K00082,0.1250684014143381,1.0
K00086,0.1015696443608722,1.0
K00087,-1.8069332146054584,0.0208149136706898
K00088,0.6971515166737022,1.0
K00090,-0.0736197724393799,1.0
K00091,-1.5766102871110883,1.0
K00094,0.0506448060838216,1.0
K00096,-1.9125859763985555,0.7046051896409089
K00097,-0.965890805540913,1.0
K00098,0.953846773514626,1.0
K00099,-1.0247786211246446,1.0
K00100,-0.6340013093791481,1.0
K00101,-0.1458796333804357,1.0
K00102,-0.7169458421367607,1.0
K00103,0.9056121132919852,1.0
K00104,-0.0642715623711212,1.0
K00105,1.1499941942014695,1.0
K00108,1.880563735336316,0.0125585860190535
K00111,0.0747155154498324,1.0
K00112,-0.0453691599822725,1.0
K00113,-0.0809261891137873,1.0
K00114,0.0332290050205452,1.0
K00116,2.217438552635204,0.3607812444788858
K00117,-0.0277956586605223,1.0
K00121,0.395663800843249,1.0
K00123,-0.8468896371566315,1.0
K00124,-0.1897156734725364,1.0
K00127,0.0446157765642085,1.0
K00128,-0.1575922152827058,1.0
K00130,1.1779068318701562,1.0
K00131,-0.1859421973242774,1.0
K00132,0.4408238206432552,1.0
K00133,0.7396938786876823,1.0
K00134,0.9191003963182356,1.0
K00135,1.188764070891141,1.0
K00137,-0.0388361947813129,1.0
K00138,0.0578300005660339,1.0
K00140,-0.3922276734548404,1.0
K00141,0.3439526467541353,1.0
K00145,-0.0164421744112208,1.0
K00146,0.6112641644331739,1.0
K00147,0.3272239424782103,1.0
K00148,-0.0802691286690837,1.0
K00151,0.6322215029665391,1.0
K00153,0.2587426703379274,1.0
K00154,1.6414815470571995,0.5075819520584611
K00156,-0.1194737843547477,1.0
K00158,1.7859702205575865,0.942105462410842
K00161,1.4731177259285586,0.7675976489258416
K00162,1.4605637668180682,0.8502682443058844
K00163,0.1990038439591017,1.0
K00164,1.773032160625509,0.1632925244833377
K00166,2.258192256446057,0.9702215291166152
K00167,2.258192256446057,0.9702215291166152
K00169,-2.326480375984711,0.1463036074773139
K00170,-1.9657082361339333,1.0
K00171,-1.729611428758227,1.0
K00172,-2.4245699630109745,0.1494730214907682
K00174,0.1428157991175707,1.0
K00175,0.0964122993495455,1.0
K00176,-1.4752740554763677,1.0
K00177,-1.492351730993251,1.0
K00179,-2.06212364717613,0.0445663763610929
K00180,-1.972319761232124,0.0923375899358232
K00184,0.3355961892295106,1.0
K00185,0.6089835037028073,1.0
K00194,-2.6222479108420065,0.00031086544375087227
K00196,-2.39580144850688,0.0011727319459088
K00197,-2.6164113966415776,0.0003278284700531754
K00198,-2.116415189809389,0.0018025013644464
K00208,1.7517252847157183,0.0274895594712269
K00209,-1.8726599231446683,0.5138103460138121
K00210,-0.2148189411486976,1.0
K00215,0.6490269529867901,1.0
K00216,-0.3041994967760875,1.0
K00217,0.6697600299302646,1.0
K00219,0.1940344553170954,1.0
K00226,1.8216027205124397,0.0169144489546697
K00228,-0.0205317858740283,1.0
K00230,-0.6663546737818202,1.0
K00231,1.2336774301588809,1.0
K00232,0.062397341582228,1.0
K00239,-0.1254118135943827,1.0
K00240,0.2793664159446205,1.0
K00241,1.0678473342343198,1.0
K00242,0.3121631732136535,1.0
K00243,0.6756214483932171,1.0
K00244,1.5297428844983678,0.2686310758664349
K00245,-0.0463911137583443,1.0
K00246,-0.0454841877472984,1.0
K00247,-0.1093859335875573,1.0
K00248,-1.747049853174849,0.6068197775925773
K00249,-0.0310423294196959,1.0
K00252,0.2165295657675514,1.0
K00253,1.544822601529681,0.0421300624714503
K00254,-0.1380639563533716,1.0
K00255,0.128221849792794,1.0
K00257,-0.3965236677438069,1.0
K00259,0.560525043738239,1.0
K00260,0.5073775039651748,1.0
K00261,-1.3641326453711788,1.0
K00262,0.2903067212229462,1.0
K00263,-0.5651754567237783,1.0
K00265,1.6909316328656752,0.1514828372439669
K00266,-0.0267956810843936,1.0
K00271,0.1997846571880519,1.0
K00273,1.0231558823134954,1.0
K00274,-0.351933858890848,1.0
K00275,-0.008820009036093,1.0
K00276,-0.2289286467745863,1.0
K00278,-1.3087089396101632,0.3569026450624233
K00281,0.0723183576830985,1.0
K00282,-0.2191790386442458,1.0
K00283,-0.2866532696732675,1.0
K00284,-2.144346766738343,0.0002961009271689667
K00285,-0.1067251877635979,1.0
K00286,0.6407293835185033,1.0
K00287,0.7369564383209375,1.0
K00290,-1.6584179198455224,1.0
K00294,0.7702518148314346,1.0
