id,(Intercept),cohortAfter abduction
K00001,0.17377866121471644,0.3732631442138833
K00003,0.1708937810836685,0.33474606916281274
K00004,0.22259055869641592,0.43677466500604073
K00005,0.17035013152032374,0.30483546131571915
K00007,0.26231198493856617,0.42150437920598005
K00008,0.22839700960345147,0.4165766821123233
K00009,0.23535987912212772,0.4404068636490568
K00010,0.26203629599130324,0.4456466214914178
K00012,0.1850208258075719,0.31639435926806203
K00013,0.17033084045065192,0.3115223629793101
K00014,0.16312756501155112,0.2874518788420983
K00015,0.41161474260654785,0.6006486527654263
K00016,0.17447812823663686,0.34954688275401946
K00018,0.20231772309672774,0.43929006096171896
K00019,0.21727045464632555,0.4270543457029312
K00020,0.16973285794565302,0.34297914789031203
K00023,0.24094423826690356,0.3727115726990766
K00024,0.2150752401339873,0.40159764824004823
K00027,0.16946344974793695,0.31032744765505177
K00028,0.39135228441299275,0.5642164493228957
K00029,0.3165540852148289,0.5122262626867046
K00030,0.2653971224314658,0.5018462006275961
K00031,0.16051211295648898,0.2950269209541424
K00033,0.19755646873498184,0.35773956727587536
K00034,0.31990023196871625,0.5190550529690232
K00036,0.19709676152806527,0.3625855620984176
K00038,0.3843782245044095,0.5687717346020442
K00040,0.184575823422746,0.392640079712116
K00041,0.2076822780570532,0.3954812440879993
K00042,0.20290653173525167,0.34783242877142273
K00045,0.3375026343340835,0.49707904315862256
K00046,0.20790714740707933,0.4048854159492967
K00048,0.18733809188262904,0.41431816289069967
K00050,0.38865351616785565,0.5626791887026827
K00052,0.16543437858906745,0.30249620975159514
K00053,0.16657344723932466,0.3027733169869685
K00054,0.2107337743329611,0.4010916305345142
K00055,0.2893440280518859,0.4766339420828261
K00057,0.16466106415571463,0.3014219419373188
K00058,0.17511588501074246,0.2987799577816978
K00059,0.16587600426338994,0.30990314843251093
K00060,0.22510460308849367,0.39358239100814385
K00064,0.3596309476129127,0.5297644101738561
K00065,0.22103144083342366,0.396842355969002
K00066,0.34754385512504316,0.557009572610668
K00067,0.1633739034130636,0.3166753977998718
K00068,0.2935088778869498,0.5178204111129066
K00073,0.28745900386650985,0.47437015873397254
K00074,0.16115499782345374,0.32240962215506125
K00075,0.16386626229803036,0.2977056584028036
K00076,0.2911477376005381,0.4390879403858261
K00077,0.1716971158859359,0.30981861754927437
K00078,0.4524374160599667,0.5870683837361201
K00082,0.32774604260877827,0.5206206719133444
K00086,0.40678359145974063,0.6306282816116192
K00087,0.25377790233485875,0.3915986165553974
K00088,0.16113609945135013,0.29102201657318466
K00090,0.3007138840669229,0.49079929796136706
K00091,0.38811002864573296,0.561637241353433
K00094,0.3395316432511495,0.4753346804737692
K00096,0.281355311225426,0.5029475182825592
K00097,0.19980522874089912,0.4104728719504815
K00098,0.3055403243862212,0.48316110952453223
K00099,0.17862657487545466,0.3206600737618416
K00100,0.18177474393238624,0.36684551798218085
K00101,0.27154599336246305,0.4581557007585467
K00102,0.4000566291112091,0.5050600380816996
K00103,0.2990825617408024,0.47612926115126236
K00104,0.19890761007624524,0.39470642108388615
K00105,0.2693516591884837,0.4937669308480048
K00108,0.191887028733809,0.3985083954744556
K00111,0.18688274112777092,0.31621761707526413
K00112,0.32014460005210377,0.518286726396344
K00113,0.3162081968173351,0.5152553489924501
K00114,0.40915668965098145,0.553166998816212
K00116,0.25301927172321165,0.558607116357386
K00117,0.31310002557533345,0.5051726088097188
K00121,0.25763303064118964,0.48200507846554674
K00123,0.1665593892971397,0.32834144267275717
K00124,0.26492908026295925,0.45151101852924935
K00127,0.29647544363464345,0.46494492395328607
K00128,0.18081397121257067,0.35071216481020845
K00130,0.20304061751063993,0.3985207467704727
K00131,0.19382604516585766,0.39041642567465323
K00132,0.3715871679286105,0.5499471171865948
K00133,0.16327166689513148,0.2957829568506035
K00134,0.15844069519997797,0.2968086020074121
K00135,0.2407934447486077,0.4189442005495458
K00137,0.31912012334186884,0.503277673802182
K00138,0.25991958431163603,0.4293583288818485
K00140,0.23080757997017157,0.4399163413658441
K00141,0.33206748894155097,0.4958723088358606
K00145,0.16303630287662754,0.29474701795520747
K00146,0.25533447723914005,0.41865142293972313
K00147,0.16564420474918212,0.29978756372270504
K00148,0.34547850892584525,0.5087849643162277
K00151,0.30830734157285267,0.4701543899129652
K00153,0.35045979799236704,0.5307353090710892
K00154,0.2703671554452113,0.4224659032156616
K00156,0.20099107750199546,0.3623225049746547
K00158,0.2645365194581863,0.4789847134086848
K00161,0.18343673303400188,0.38960125965776604
K00162,0.18244015960516177,0.3889712044906317
K00163,0.22210165112643715,0.40459592427690017
K00164,0.2386116458811773,0.42643893323152327
K00166,0.35210286107621297,0.6068471122182292
K00167,0.35210286107621297,0.6068471122182292
K00169,0.408109028602845,0.5561128098015267
K00170,0.46559436897826867,0.578204015402287
K00171,0.4543478451255465,0.5813364764596924
K00172,0.4253678996357313,0.5802479768261221
K00174,0.22499908845244265,0.42574317374084625
K00175,0.22996766416897393,0.425638241436243
K00176,0.24732611181021297,0.4851678865323208
K00177,0.257328618380943,0.4848067310825595
K00179,0.23675393038300824,0.4632054628968416
K00180,0.244127707464267,0.4597572341070527
K00184,0.4140638427108834,0.5501166925940066
K00185,0.3894776104660971,0.5315069776538348
K00194,0.2735331587402533,0.4833013587841941
K00196,0.22256925196375935,0.46229184892981473
K00197,0.27356206701931113,0.4830830302430297
K00198,0.2207173937362249,0.41485880059399205
K00208,0.2129318050023509,0.38451303335828674
K00209,0.3399598374687111,0.482337953949889
K00210,0.47006862030907387,0.6828695568932617
K00215,0.15895312861615848,0.28777811862388974
K00216,0.29195432130474147,0.47277803733343493
K00217,0.29067905952790335,0.4201533885143801
K00219,0.22810624740553023,0.39360567788099504
K00226,0.21623171654294623,0.3911004725006888
K00228,0.298792532617058,0.48841115870836094
K00230,0.26665794249116154,0.45339208057915714
K00231,0.24210037458124842,0.4596934499576343
K00232,0.34703706581959937,0.5213392261792938
K00239,0.19180769082163254,0.33120573815315074
K00240,0.17270445620528266,0.3337680753488406
K00241,0.18433224056886324,0.3691003068480166
K00242,0.23896109554308512,0.40213123261255246
K00243,0.1668343156198524,0.335626033364634
K00244,0.20797273400439478,0.3786261738545368
K00245,0.302678601360183,0.49231835052941747
K00246,0.3026473807391024,0.4922991566262216
K00247,0.31300970244100995,0.5010522754641804
K00248,0.21599410872649505,0.4548615424368161
K00249,0.39957870515508065,0.6164686260417253
K00252,0.2913316952753771,0.480259663608899
K00253,0.23377034164746407,0.3460631074404796
K00254,0.25747963463964346,0.40488346892116195
K00255,0.40503438669319675,0.5505501894708414
K00257,0.30281125549287824,0.5506999032004674
K00259,0.18068347511113234,0.34345314152273837
K00260,0.21076349130387026,0.47670578991888835
K00261,0.2312804777002103,0.4240894864114967
K00262,0.1661671718909217,0.3031444659426877
K00263,0.38526949703305435,0.5597960171217051
K00265,0.1944075475749785,0.4049855849286234
K00266,0.1761285969813516,0.31675956593943283
K00271,0.35226130740116873,0.5308784651658837
K00273,0.2797499048463144,0.44704908174530517
K00274,0.33465670730413705,0.4814345652131434
K00275,0.2467983343149153,0.4178787828005607
K00276,0.3098261113382155,0.4965117686346044
K00278,0.1718126285808333,0.3294624619581233
K00281,0.2618502982373917,0.4342673693881078
K00282,0.2029446708327795,0.4992688651228526
K00283,0.20500173677621455,0.5058615302587705
K00284,0.20671957241854397,0.39458638650037475
K00285,0.25779986334063804,0.4507539255506983
K00286,0.16178217410141874,0.2942679248124461
K00287,0.16615844255741657,0.30838446335586217
K00290,0.26213344480954254,0.4716487175740008
K00294,0.24725581976455302,0.5151968851966482
K00297,0.16735669088967645,0.31205605405913844
K00298,0.41903531102651664,0.5771282243300456
K00299,0.24886709737083387,0.42353591883793423
K00301,0.3048255198874551,0.44130265501790933
K00302,0.42111619326322686,0.5745574509216864
K00303,0.40999851007786836,0.5665034950462362
K00304,0.3986533097027832,0.5449766489338665
K00305,0.38168175602067567,0.53153552062739
K00311,0.235069726424225,0.3517697573233108
K00313,0.29623925149327307,0.4810828921770165
K00316,0.317585108247014,0.49364376251468156
K00318,0.24143556595205043,0.5129877784622006
K00320,0.35017702181101107,0.44600013710834335
K00322,0.2884886071617386,0.4580758113771119
K00324,0.2408554318896073,0.41309176059065034
K00325,0.23250971207845353,0.40376611207224283
K00330,0.25541470605690575,0.41946628068769587
K00331,0.25207439882676747,0.4173283031348805
K00332,0.3391492534694892,0.5180019941374803
K00333,0.3349672471275501,0.5198099121628537
K00334,0.2084351562709866,0.3219331835889763
K00335,0.2141894305405805,0.3177536683674419
K00336,0.2016384677642727,0.3218231047646929
K00337,0.24652433640556898,0.41464146012750663
K00338,0.255383424744704,0.4194599338715447
K00339,0.255383424744704,0.4194599338715447
K00340,0.23677356583619394,0.41504632828939053
K00341,0.2520815654936512,0.41733267433009313
K00342,0.2554147060569057,0.4193669876675467
K00343,0.25215748970454205,0.41726620985324686
K00344,0.24141414835876998,0.4372099646987004
K00346,0.39820852827341013,0.6137621740573646
K00347,0.39271531172361784,0.6102131016861329
K00348,0.3897104298707581,0.6057174079328567
K00349,0.39271531172361784,0.6102131016861329
K00350,0.3913596390597435,0.6093415138427752
K00351,0.36298797196828486,0.5852605214454413
K00354,0.3735959183464723,0.6214129162560218
K00355,0.21701950334102718,0.4107843188846382
K00356,0.29065605139828266,0.44614425344311215
K00360,0.3456407966585076,0.5152417435645189
K00362,0.199571283306035,0.403792167854755
K00363,0.20433106771179826,0.40266785536287025
K00364,0.23513217674638348,0.41322452081016425
K00365,0.3456465994282168,0.5152434678705109
K00366,0.22712990413978487,0.45305819964653093
K00368,0.30819144657836994,0.46658528562207735
K00370,0.23516426453802458,0.4157321684063898
K00371,0.23587292332235546,0.41190569233586605
K00372,0.2537958383632401,0.42728074368866575
K00373,0.23606113324473282,0.42338636839637217
K00374,0.23154023972499066,0.40720588629998344
