metagene,log2foldchange_M,q-value_M
K00001,-0.360855479171393,1
K00003,-0.1021204755620648,1
K00004,-1.0195466673839726,1
K00005,-0.0947337003186636,1
K00007,0.4805123039063542,1
K00008,0.402647262925039,1
K00009,0.3581314459433725,1
K00010,-0.5986547213197895,1
K00012,0.3357296357901443,1
K00013,-0.118400456698117,1
K00014,0.0884900889083282,1
K00015,-0.2970190897882127,1
K00016,-0.0383908562769051,1
K00018,0.2117321873824979,1
K00019,0.4907667783145968,1
K00020,0.1953674604975824,1
K00023,-0.0743278465995055,1
K00024,-0.5903335709176529,1
K00027,0.0787474045039487,1
K00028,0.0183001342351447,1
K00029,-0.2548615310492133,1
K00030,0.2213220941661954,1
K00031,-0.074795206571057,1
K00033,-0.3758931458141965,1
K00034,-0.6452742181219241,1
K00036,-0.4169807303625388,1
K00038,-0.8123125035971542,1
K00040,0.4255009392901464,1
K00041,0.1572955962339592,1
K00042,0.3561341479874047,1
K00045,0.5651646743363395,1
K00046,0.0918520946749438,1
K00048,0.3603688429617386,1
K00050,0.7890894758262267,1
K00052,-0.2299259226361747,1
K00053,-0.2253233658859175,1
K00054,-0.2303990337881513,1
K00055,-0.3632825244609008,1
K00057,-0.0254696795396086,1
K00058,-0.0201750309619374,1
K00059,-0.0305430915901159,1
K00060,-0.0248369410290017,1
K00064,-0.8630358429001256,1
K00065,-0.3396013598870559,1
K00066,-0.7435595639134762,1
K00067,0.1823464575864956,1
K00068,0.2666590918767234,1
K00073,-0.3749621606941798,1
K00074,0.1472217737209705,1
K00075,0.015683250614065,1
K00076,-0.1848893043023902,1
K00077,-0.1253255466930044,1
K00078,-0.9707432036961554,1
K00082,-0.7589451195999445,1
K00086,0.0366561470153405,1
K00087,-0.0713782476367943,1
K00088,-0.0936190916631983,1
K00090,0.5563904995315115,1
K00091,-0.3006779741410232,1
K00094,0.2387835994585618,1
K00096,-0.2739502910387556,1
K00097,-0.0027126117752241,1
K00098,-0.2202440730565488,1
K00099,0.3002204962441394,1
K00100,0.1620813979834431,1
K00101,-0.1751175811627116,1
K00102,0.250284420797973,1
K00103,-0.2557890952128298,1
K00104,-0.3544248082193554,1
K00105,0.3078548541242205,1
K00108,-0.3467530402934878,1
K00111,-0.3147994652142472,1
K00112,0.2020706657727108,1
K00113,0.1958708279854426,1
K00114,-0.5259013989727506,1
K00116,0.0418604535932639,1
K00117,0.726613745491551,1
K00121,0.4656690440543606,1
K00123,0.2091634698003811,1
K00124,-0.2376828379574702,1
K00127,0.6766121013352379,1
K00128,-0.2822339933028259,1
K00130,-0.6993634052265963,1
K00131,-0.1601111868153288,1
K00132,0.3810828166349136,1
K00133,-0.0060615223172513,1
K00134,-0.0023356896179001,1
K00135,-0.0382017819408337,1
K00137,0.3753061380890126,1
K00138,-0.2812134839804552,1
K00140,-0.243496790957593,1
K00141,-0.5317917161227914,1
K00145,-0.0940801448101409,1
K00146,0.5233629416888974,1
K00147,0.1365097357750865,1
K00148,-0.814836199609141,1
K00151,0.4169326400486723,1
K00153,-0.7602952173149269,1
K00154,0.3024754671118713,1
K00156,-0.0633922640473311,1
K00158,-0.2292317651015218,1
K00161,-0.3956408108739353,1
K00162,-0.4044825520150488,1
K00163,-0.3797077612704492,1
K00164,-0.7549659875253951,1
K00166,-0.7604366887162218,1
K00167,-0.7604366887162218,1
K00169,-0.3186270199335725,1
K00170,0.0070148173480366,1
K00171,0.4846478803865158,1
K00172,-0.2192866570410065,1
K00174,-0.9017056742362558,1
K00175,-0.8987059543034066,1
K00176,-0.0838502379319703,1
K00177,-0.1292924806449295,1
K00179,-0.3350751483445622,1
K00180,-0.3653645990224241,1
K00184,-0.4874961697122179,1
K00185,-0.3840396827712475,1
K00194,0.0378572360874347,1
K00196,0.1763433877963369,1
K00197,0.0438472668659695,1
K00198,-0.1235870494349774,1
K00208,-0.3544965648891658,1
K00209,-0.3399499192386797,1
K00210,-0.3904748847366052,1
K00215,-0.0309848386610471,1
K00216,0.2692732505960689,1
K00217,0.5141041308995449,1
K00219,0.0300288701650736,1
K00226,-0.1303748915770611,1
K00228,0.5541013140925358,1
K00230,0.3690928951145484,1
K00231,-1.0909653032935394,1
K00232,-0.5543313205115823,1
K00239,-0.5798028029488335,1
K00240,-0.6943681029710234,1
K00241,-0.8034003040433355,1
K00242,-0.2191963813352858,1
K00243,-0.1157147573474231,1
K00244,-0.0869612971474033,1
K00245,0.5039554591645448,1
K00246,0.503013651383844,1
K00247,0.453290818725412,1
K00248,0.2772340790783021,1
K00249,-0.7813443673184967,1
K00252,-0.6582206214489253,1
K00253,0.1939942218535423,1
K00254,-0.3031807912173611,1
K00255,-0.2194581117916492,1
K00257,-0.8575895169736955,1
K00259,-0.483578459468134,1
K00260,-0.6499814913890634,1
K00261,-0.634186990042827,1
K00262,0.2301152211539962,1
K00263,-1.1079170597887622,1
K00265,-0.451698278436609,1
K00266,0.0143800180200548,1
K00271,-0.7504513102253226,1
K00273,-0.1938314096199284,1
K00274,-0.1978566532251022,1
K00275,-0.4300361977677527,1
K00276,-0.1564422883867357,1
K00278,0.1766513421234614,1
K00281,-0.5513367963491316,1
K00282,-0.5051805739492011,1
K00283,-0.4279605904595071,1
K00284,0.0954323727349165,1
K00285,-0.2066581080104935,1
K00286,-0.031927916550988,1
K00287,-0.0970243694239003,1
K00290,-0.2802928682901235,1
K00294,-1.0448376383547662,1
K00297,-0.2742952114427853,1
K00298,-0.8459375762470179,1
K00299,-0.2970221231944036,1
K00301,-0.4888825102482392,1
K00302,-0.5574575123292153,1
K00303,-0.8088175411228009,1
K00304,-0.6357774280847092,1
K00305,-0.3663007111309746,1
K00311,0.1644076509129777,1
K00313,-0.1205489318064688,1
K00316,-0.4986909985589689,1
K00318,-0.948903452335034,1
K00320,-1.0280355987686325,1
K00322,0.5312191458197425,1
K00324,-0.1492355403639573,1
K00325,-0.1451645478072769,1
K00330,-0.592680698236986,1
K00331,-0.5609828949230633,1
K00332,-1.2094271406005723,1
K00333,-1.2690862317727682,1
K00334,0.1452368802352893,1
K00335,0.3873269100648689,1
K00336,0.2597696847655824,1
K00337,-0.612122945540524,1
K00338,-0.5965648652107235,1
K00339,-0.5965648652107235,1
K00340,-0.627686205253376,1
K00341,-0.5610127751544598,1
K00342,-0.5938609816657273,1
K00343,-0.5583893395267253,1
K00344,-0.2450228824633834,1
K00346,0.1826087544473618,1
K00347,0.1880952821468154,1
K00348,0.0476320991211064,1
K00349,0.1880952821468154,1
K00350,0.1729220781568146,1
K00351,0.1533479171581132,1
K00354,0.0594411629285352,1
K00355,0.0301263412209646,1
K00356,0.3574472597606754,1
K00360,-0.8144693991089561,1
K00362,-0.2644398602913737,1
K00363,-0.4058790103091331,1
K00364,-0.0783778162822336,1
K00365,-0.8145531443384887,1
K00366,0.3033313056853554,1
K00368,-0.6241382176774934,1
K00370,-0.2548754871867905,1
