id,(Intercept),Patient_SexM
K00001,0.28622299121501255,0.3723509694533163
K00003,0.21005684501664112,0.3245969558124311
K00004,0.3137385116705192,0.4184332105272648
K00005,0.2099488466082681,0.3029981994495356
K00007,0.2969515926687356,0.4269606715464604
K00008,0.2883420750235682,0.42745577420758907
K00009,0.2923064094083063,0.4329184019826585
K00010,0.30525665183875095,0.43534231837537524
K00012,0.24489387373543486,0.316893598385473
K00013,0.21136529802033013,0.30465324561091284
K00014,0.20277766951495263,0.2825849383705645
K00015,0.4523539780495659,0.6114564791094899
K00016,0.22645318603444936,0.34261240209413735
K00018,0.29251470841484145,0.4311062918503833
K00019,0.2776727259497845,0.4148538696264962
K00020,0.21427038680582577,0.331383698094161
K00023,0.3011824717994387,0.39776510201163956
K00024,0.3171387303864123,0.4004044856383584
K00027,0.21762638938899392,0.30778514160973813
K00028,0.42946341293356355,0.5805339624446975
K00029,0.36952739205201013,0.5066978393819419
K00030,0.375663236803316,0.5402460264861552
K00031,0.21018066981943515,0.2886031613322934
K00033,0.26627338048421734,0.37188190986690817
K00034,0.3822665987720876,0.5317185791735023
K00036,0.28549880160744795,0.38310655071351124
K00038,0.40521490066282734,0.561738016334021
K00040,0.27082281894286897,0.3809227288769373
K00041,0.2824896148081161,0.388433709033673
K00042,0.27274882170487824,0.38023089839891117
K00045,0.3526883333143414,0.4966467206804184
K00046,0.2713900837965943,0.39744687589229916
K00048,0.2609225189636763,0.4022620767734808
K00050,0.40355402076667923,0.5704417722339873
K00052,0.20744743967849436,0.29488720191777307
K00053,0.20809832734859623,0.2953406605757345
K00054,0.29888456636141386,0.41662155528969874
K00055,0.3342866709457799,0.47179819363360825
K00057,0.21208596654886575,0.3019620147036778
K00058,0.20416525046394512,0.2942331314307255
K00059,0.2171209513440819,0.30757736099324284
K00060,0.30366069663169654,0.4062101800635735
K00064,0.39428082023241934,0.5229103528284206
K00065,0.27661263069567876,0.389608898183873
K00066,0.40174042973831087,0.546880173862566
K00067,0.2010372227854982,0.3070632976041229
K00068,0.34806133435082026,0.514431793246937
K00073,0.3409071459745899,0.48864987270326044
K00074,0.24666970916188863,0.3150586145048079
K00075,0.2111241014056315,0.2980701165804398
K00076,0.2831442318865925,0.47976688299863396
K00077,0.24151144832943766,0.3116319547199652
K00078,0.4742677139210858,0.6130620570848871
K00082,0.35675187038125267,0.509523218943805
K00086,0.4467551011730869,0.6255832603148755
K00087,0.2999542836765077,0.43061634038390884
K00088,0.20384747894707367,0.29103374480467425
K00090,0.3433347163121833,0.48144829868877137
K00091,0.4625139426300152,0.5865015909598871
K00094,0.35378349054161196,0.4769407562536358
K00096,0.3499271456141709,0.5285137738374566
K00097,0.307851258210821,0.4123282878798334
K00098,0.34952177004485224,0.4858329194331002
K00099,0.23885673658816794,0.33117837837691444
K00100,0.24474875000325805,0.36216533786253485
K00101,0.3223718673198279,0.45122956545881143
K00102,0.3715677208634824,0.5189445329420713
K00103,0.3339604226868757,0.47715489671346034
K00104,0.2788271934190473,0.38294950257620824
K00105,0.34804067586000603,0.49306489861565317
K00108,0.34685576746280644,0.4267999917483183
K00111,0.2120008341878821,0.309238890385233
K00112,0.375652215532883,0.5122936472222903
K00113,0.3743093731193279,0.5091679765774901
K00114,0.4304073106380337,0.5568819279657764
K00116,0.4740390405066622,0.5833201335005127
K00117,0.3505570512307399,0.4938442757102657
K00121,0.3286164735570288,0.4689637533459239
K00123,0.23240596738915173,0.33138688609937483
K00124,0.3028059842678788,0.4435142997851853
K00127,0.331870957586715,0.4560148073502596
K00128,0.2610382935319374,0.3423147827164026
K00130,0.31006219345457503,0.3984822921424188
K00131,0.2773295366853477,0.38030847462723144
K00132,0.36216671665944167,0.5464668400591447
K00133,0.21019871988200575,0.29666658971330057
K00134,0.2165823019108788,0.3015156455314302
K00135,0.29882197803238064,0.4254079157348797
K00137,0.3413976360575827,0.49637118901306027
K00138,0.29776420617526506,0.4223447115268046
K00140,0.3199250860451624,0.43157625338171485
K00141,0.3661223620590999,0.49263523551367
K00145,0.2063808374405035,0.28857451697643716
K00146,0.3013588663405292,0.413417926842929
K00147,0.20145253490125353,0.2936350962670636
K00148,0.3779190940229346,0.5025035664906919
K00151,0.3260572598104306,0.46800149736482893
K00153,0.373410621814054,0.5228221962458454
K00154,0.315044229275002,0.44510149416167905
K00156,0.27388923464125764,0.35637912942335304
K00158,0.3610015461585438,0.498080597781815
K00161,0.28740341301226036,0.40005988816789667
K00162,0.2864870286152501,0.3988928563685588
K00163,0.2630718376173076,0.39334860595038723
K00164,0.36180959776660804,0.4466074357449005
K00166,0.5156755834412133,0.6334313963692368
K00167,0.5156755834412133,0.6334313963692368
K00169,0.4749876171609678,0.6096974368341146
K00170,0.4460154233172151,0.6230844702196561
K00171,0.43139217010487574,0.6141281769608841
K00172,0.48889540974520884,0.6359053908057206
K00174,0.29028029688209156,0.4059833631440421
K00175,0.29275041544225394,0.4066715429106529
K00176,0.37220917839932366,0.4975191322499355
K00177,0.38064948475519794,0.49926820653985665
K00179,0.33964276688473,0.4963017053539506
K00180,0.33755514234186,0.4904764865566973
K00184,0.4559622054241579,0.5575207593885227
K00185,0.4382260497686863,0.5393124490444295
K00194,0.36251550969298246,0.5426238711776431
K00196,0.37505196087986287,0.5110409200484037
K00197,0.36252645473550776,0.542183677748303
K00198,0.2951363808176562,0.4576399073826038
K00208,0.3135670448766418,0.41089499664821855
K00209,0.34296070685695085,0.5177389824935671
K00210,0.49359280133299227,0.6820403241932825
K00215,0.19974524232933424,0.2869510711444844
K00216,0.3212799499585695,0.4670904490289028
K00217,0.3091688686938886,0.42121854553295374
K00219,0.2695055184079516,0.3864860470588438
K00226,0.3052525166166293,0.41992840894491423
K00228,0.3406476821457802,0.47885166494452575
K00230,0.3325119653742233,0.45105607211002247
K00231,0.3379959471622977,0.45108435226210675
K00232,0.3892634354415463,0.5172045716320707
K00239,0.24081259721776174,0.3217424881557288
K00240,0.23888844043624097,0.31930413536390334
K00241,0.29793922101474385,0.3657024383848443
K00242,0.2720221851438826,0.3954702389767327
K00243,0.22512364133560472,0.33067180763555976
K00244,0.2804003794762405,0.39697583036376377
K00245,0.3330998065703858,0.48298543024248397
K00246,0.3330998065703859,0.48297158414150465
K00247,0.3467310868808021,0.49341697825099384
K00248,0.34617200919259433,0.47587208110728624
K00249,0.4224339964257873,0.6065799857254116
K00252,0.29483317058711306,0.4674705386793562
K00253,0.2630670953034437,0.373391551562119
K00254,0.2862819992180221,0.4006358628183616
K00255,0.42912054995916366,0.5557914741675006
K00257,0.36939550275610583,0.5336957104850267
K00259,0.24909032781283408,0.33563938800736265
K00260,0.33817251627690187,0.4584648280731712
K00261,0.29824963608603955,0.4335733863553214
K00262,0.20984416029784647,0.2962147774418447
K00263,0.4198822522159813,0.5536031063838164
K00265,0.32093008307318094,0.42267837956099513
K00266,0.21250413455092862,0.30987327894489075
K00271,0.37438506648361164,0.5232455817405509
K00273,0.3315472666174284,0.45205417866706804
K00274,0.3584806509218108,0.4836886994932953
K00275,0.2921197663370735,0.40918730240183926
K00276,0.3574357356839033,0.49205149148048594
K00278,0.24417732807699505,0.34848236779949293
K00281,0.3061859648846302,0.4248913496230143
K00282,0.34842633995608796,0.47897111285607635
K00283,0.3578424104155743,0.4866573692316644
K00284,0.2779165810912801,0.4410502812300572
K00285,0.3105518796287024,0.4420479244552534
K00286,0.21062529704799218,0.2932799765141194
K00287,0.21559907151569174,0.3078700384699428
K00290,0.29377733142482276,0.48918696050665184
K00294,0.3876833243243594,0.49573752302120644
K00297,0.19995477562980926,0.30279408209505926
K00298,0.40136439639501387,0.5907451272735842
K00299,0.2880921577182046,0.41527305658202684
K00301,0.33495668883180496,0.4398498775538435
K00302,0.4566310661838593,0.5894779438887838
K00303,0.44636512465307904,0.5877225153428143
K00304,0.4217263078404306,0.5466335943888353
K00305,0.41793630542253735,0.5345138346686393
K00311,0.2664663802284201,0.37882129453393565
K00313,0.3343609397941342,0.47830677739377125
K00316,0.3350735328949919,0.4942996041304144
K00318,0.39770436622805455,0.5058614517338667
K00320,0.32426359237649016,0.4444474327126019
K00322,0.32912685997338775,0.4506997275452869
K00324,0.2789347417387466,0.40563376027392367
K00325,0.2727027899600144,0.39624206312826965
K00330,0.29443118847708816,0.40995518872111786
K00331,0.2923944345627273,0.4080220962360645
K00332,0.36021459492665553,0.501764107440444
K00333,0.357031000514352,0.5014255663952375
K00334,0.2637473707149997,0.34655681472000016
K00335,0.25547339134176517,0.34735331943781017
K00336,0.2615230649959363,0.3390793603026503
K00337,0.2870568465543052,0.4038106084796514
