metagene,log2foldchange_liquid,log2foldchange_semi-formed,q-value_liquid,q-value_semi-formed
K00001,0.0969390344785091,0.283429200344862,1.0,1
K00003,0.3634760711356001,-0.0657524072447133,1.0,1
K00004,0.240237503855155,-0.0766646128725414,1.0,1
K00005,-0.163517085369491,-0.1303566606387372,1.0,1
K00007,0.1878449361072514,-0.3273305711740801,1.0,1
K00008,1.0992249026677992,0.1732474280793952,1.0,1
K00009,-0.45553249439879,-0.2759765353243892,1.0,1
K00010,-0.0160810526145402,-0.1596145395443279,1.0,1
K00012,0.3232771321494758,0.3193305875390178,1.0,1
K00013,0.16166820814596,-0.0176590827295796,1.0,1
K00014,-0.0251723497917801,-0.0669589424520241,1.0,1
K00015,1.434773256601992,0.1594887940972711,1.0,1
K00016,0.2193512450635022,0.1425476490508593,1.0,1
K00018,0.9419498526393788,0.4760216769164864,1.0,1
K00019,0.294660310159237,-0.7947521887462028,1.0,1
K00020,0.2789506325208964,0.0294789964460375,1.0,1
K00023,0.6720727724252359,0.8048783174204233,1.0,1
K00024,-0.8197134167987715,-0.5132525707633091,1.0,1
K00027,-0.0312696271045854,-0.1638412895221875,1.0,1
K00028,-0.1194783803618934,-0.3824143125027924,1.0,1
K00029,-1.2952349556227931,-0.6627018684400936,1.0,1
K00030,0.2912359404044116,0.0234551402434135,1.0,1
K00031,0.2539938364033025,-0.0211490691162349,1.0,1
K00033,-0.4579684664651614,-0.0035042652466701,1.0,1
K00034,-0.7922812654598307,0.2274205912931239,1.0,1
K00036,-0.5090593247854648,-0.0491882832275573,1.0,1
K00038,2.207548471724156,1.2184196762635169,1.0,1
K00040,0.4106178133308183,-0.0936192320649938,1.0,1
K00041,0.289219694282635,0.1737046423081634,1.0,1
K00042,0.0337926079408384,-0.4246014432744183,1.0,1
K00045,0.3468121963814906,0.2032983840097089,1.0,1
K00046,0.6233093854901941,0.6143273292919227,1.0,1
K00048,0.7389392313023596,0.7689589813063837,1.0,1
