Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	0.573539384133644	0.573539384133644	6.68300517124138	0.0605069833126172	0.001
Stool_Consistency	2	0.21915790524276	0.10957895262138	1.27683769813662	0.0231206157453032	0.126
Patient_Sex	1	0.0968168254551992	0.0968168254551992	1.12813062725872	0.0102139350919156	0.282
Sample_Day	1	0.210421668329622	0.210421668329622	2.45187887090317	0.0221989644067176	0.011
Recovery_Day	1	0.0715493023479523	0.0715493023479523	0.83370797336327	0.0075482740382972	0.637
Cohort_Number:Stool_Consistency	2	0.17672851212634	0.0883642560631702	1.02963945730614	0.0186444199472803	0.389
Cohort_Number:Patient_Sex	1	0.0937331026761374	0.0937331026761374	1.09219842129474	0.00988860998278599	0.289
Stool_Consistency:Patient_Sex	2	0.170815788912146	0.0854078944560731	0.995191291312914	0.0180206423048891	0.42
Stool_Consistency:Sample_Day	2	0.187080601975264	0.0935403009876321	1.08995185424643	0.0197365397651472	0.307
Patient_Sex:Sample_Day	1	0.113483958638859	0.113483958638859	1.32233967433999	0.011972276327603	0.17
Cohort_Number:Recovery_Day	1	0.124349513847385	0.124349513847385	1.44894747784187	0.0131185654681084	0.096
Stool_Consistency:Recovery_Day	2	0.139346267886043	0.0696731339430217	0.811846452604393	0.0147006858446039	0.757
Patient_Sex:Recovery_Day	1	0.0946571201592774	0.0946571201592774	1.1029652732128	0.00998609153676396	0.295
Sample_Day:Recovery_Day	1	0.0611959112023515	0.0611959112023515	0.713068016491865	0.00645601693685655	0.788
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.132070054773147	0.0660350273865735	0.769454446749387	0.0139330633977756	0.828
Stool_Consistency:Patient_Sex:Sample_Day	2	0.141456256304708	0.0707281281523542	0.824139473714441	0.0149232843924453	0.713
Cohort_Number:Stool_Consistency:Recovery_Day	2	0.287743038703324	0.143871519351662	1.67642211576087	0.0303561773136871	0.021
Cohort_Number:Patient_Sex:Recovery_Day	1	0.0711107947464664	0.0711107947464664	0.828598387780432	0.00750201257333148	0.604
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.140857174521297	0.0704285872606487	0.820649158343528	0.0148600827493245	0.709
Stool_Consistency:Sample_Day:Recovery_Day	2	0.201932538611265	0.100966269305632	1.17648084605339	0.0213033822646417	0.242
Patient_Sex:Sample_Day:Recovery_Day	1	0.134671283675702	0.134671283675702	1.56921897627298	0.0142074865989599	0.087
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.177858321815947	0.0889291609079736	1.03622185095428	0.0187636120689141	0.412
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	0.279982636285048	0.139991318142524	1.63120917055869	0.02953747409537	0.029
Residuals	65	5.57833774079843	0.0858205806276681	NA	0.588500803836661	NA
Total	100	9.47889570316832	NA	NA	1	NA
