,pathway,log2foldchange,q-value
0,1CMET2-PWY,-0.425240630020434,1.0
1,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.0204496923010997,1.0
2,AEROBACTINSYN-PWY,-0.4471093233607942,1.0
3,ALL-CHORISMATE-PWY,-1.030912146664224,1.0
4,ANAEROFRUCAT-PWY,0.3897931718869018,1.0
5,ANAGLYCOLYSIS-PWY,0.1130922607006545,1.0
6,ARG+POLYAMINE-SYN,-1.1275264779794891,0.0037320136788498
7,ARGDEG-PWY,-0.735065872778888,1.0
8,ARGORNPROST-PWY,0.5333407145345389,1.0
9,ARGSYN-PWY,-0.4227907765128017,1.0
10,ARGSYNBSUB-PWY,-0.5163279733819138,1.0
11,ARO-PWY,-0.2222441395274272,1.0
12,ASPASN-PWY,-1.2306046518474645,0.00012346775548482817
13,AST-PWY,-0.6294614313029671,1.0
14,BIOTIN-BIOSYNTHESIS-PWY,-0.8080798216782813,1.0
15,BRANCHED-CHAIN-AA-SYN-PWY,-0.4734593628037623,1.0
16,CALVIN-PWY,-0.0395275291106181,1.0
17,CATECHOL-ORTHO-CLEAVAGE-PWY,-1.2018324663212183,1.0
18,CENTFERM-PWY,-1.6258968696425948,0.0003881718496606637
19,COA-PWY,0.2041242922386436,1.0
20,COBALSYN-PWY,-1.6376300121769083,9.2265253153832e-05
21,CODH-PWY,-0.6051482815537407,1.0
22,COLANSYN-PWY,-1.318446012354468,0.3007959015964681
23,COMPLETE-ARO-PWY,-0.2134424437184912,1.0
24,DAPLYSINESYN-PWY,-1.0948842150710405,0.00012916465999583142
25,DENOVOPURINE2-PWY,0.4548102816788502,1.0
26,DTDPRHAMSYN-PWY,-0.2869354359586874,1.0
27,ECASYN-PWY,-0.8779512413924827,1.0
28,ENTBACSYN-PWY,-1.256021970686787,1.0
29,FAO-PWY,-0.519464230272367,1.0
30,FASYN-ELONG-PWY,0.8874347665252568,0.8515247775860209
31,FASYN-INITIAL-PWY,-0.5818855656036793,1.0
32,FERMENTATION-PWY,-0.1502363355386803,1.0
33,FOLSYN-PWY,-0.3156688922637448,1.0
34,FUC-RHAMCAT-PWY,-1.826017345108499,1.4299509686339926e-07
35,FUCCAT-PWY,-2.422689013774258,1.6646428335119274e-09
36,GALACT-GLUCUROCAT-PWY,-0.9824249816528196,0.9325539562413612
37,GALACTARDEG-PWY,-0.9692805494228928,1.0
38,GALACTUROCAT-PWY,-1.002516611325294,0.9567775281793076
39,GALLATE-DEGRADATION-I-PWY,-0.219029557338188,1.0
40,GALLATE-DEGRADATION-II-PWY,-0.3230365266545162,1.0
41,GLCMANNANAUT-PWY,-1.1904276003252163,0.0021107587454818
42,GLUCARDEG-PWY,-0.916651028342506,1.0
43,GLUCARGALACTSUPER-PWY,-0.9692805494228928,1.0
44,GLUCONEO-PWY,0.0087815851631103,1.0
