,pathway,log2foldchange,q-value,pathway_name,pathway_hierarchy
6,ARG+POLYAMINE-SYN,-1.1275264779794891,0.0037320136788498,,
34,FUC-RHAMCAT-PWY,-1.826017345108499,1.4299509686339926e-07,,
41,GLCMANNANAUT-PWY,-1.1904276003252163,0.0021107587454818,,
55,GOLPDLCAT-PWY,-1.7982634719158566,0.0267659211426989,,
98,P4-PWY,-0.960622356722265,4.503129817413381e-05,,
109,POLYAMSYN-PWY,-1.1744075502294091,0.0100514090077808,,
130,PWY-5121,-1.2948331624790943,4.337596252082874e-05,,
134,PWY-5180,-1.7543033747233885,0.0446271721751319,,
136,PWY-5182,-1.7543033747233885,0.0446271721751319,,
144,PWY-5347,-0.6729223897851241,0.0263823646739073,,
152,PWY-5505,-2.095994385205302,1.149952121276596e-09,,
205,PWY-6353,-1.3944184750518611,9.018529468828276e-08,,
222,PWY-6590,-1.6567784133050436,0.0003129750709969848,,
226,PWY-6628,-1.3147363522281943,0.0039497266538122,,
228,PWY-6630,-1.3239614015111631,0.0030436690942999,,
260,PWY-7211,-0.9578616184265576,0.0042015091397262,,
287,PWY-7560,-1.4097174804973926,1.8770386541487852e-05,,
311,PWY0-781,-0.9200496251004724,0.00011008206380247292,,
333,THISYN-PWY,-1.1651543574289165,0.0177900584323073,,
334,THREOCAT-PWY,-1.5616025445413446,0.0034850837958721,,
