id,(Intercept),cohortAfter abduction
1CMET2-PWY,0.131271457243402,0.23818667286622416
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.33086466981448875,0.5250328135558852
AEROBACTINSYN-PWY,0.3426614110816964,0.5323951688557702
ALL-CHORISMATE-PWY,0.34580552681373994,0.5559457968796805
ANAEROFRUCAT-PWY,0.13655066646856096,0.250856170927697
ANAGLYCOLYSIS-PWY,0.13445977974738182,0.2485997321399417
ARG+POLYAMINE-SYN,0.12580167465740855,0.2581608711104571
ARGDEG-PWY,0.3514557340938836,0.5581532289309526
ARGORNPROST-PWY,0.15882028143955604,0.305550827200866
ARGSYN-PWY,0.12664346857731007,0.224608600175556
ARGSYNBSUB-PWY,0.12711216781647258,0.22622009215755962
ARO-PWY,0.12646182706339096,0.22759406117491485
ASPASN-PWY,0.1338573712126676,0.24253027757200682
AST-PWY,0.3338854672331751,0.5423678876614155
BIOTIN-BIOSYNTHESIS-PWY,0.31449580567309887,0.5458600928446102
BRANCHED-CHAIN-AA-SYN-PWY,0.12785313821134645,0.22690309537060027
CALVIN-PWY,0.12795402304226425,0.22165578216177867
CATECHOL-ORTHO-CLEAVAGE-PWY,0.3976652147901297,0.5591391455398816
CENTFERM-PWY,0.18624804913550136,0.3353418937408757
COA-PWY,0.13154160513084767,0.2515296525241466
COBALSYN-PWY,0.14646132700612186,0.3192055125820866
CODH-PWY,0.3302473800202182,0.4970887490119481
COLANSYN-PWY,0.25467363932244363,0.4031554433821592
COMPLETE-ARO-PWY,0.12641614588797942,0.22654432046679449
DAPLYSINESYN-PWY,0.12954369653227935,0.21617361276001568
DENOVOPURINE2-PWY,0.14393854323133745,0.2641971320391005
DTDPRHAMSYN-PWY,0.13511082440577837,0.28063532823892295
ECASYN-PWY,0.35058097463851606,0.55706527505516
ENTBACSYN-PWY,0.3314532852621344,0.531508113075335
FAO-PWY,0.224968239995885,0.41510833329283675
FASYN-ELONG-PWY,0.1729379031808547,0.3003555793193257
FASYN-INITIAL-PWY,0.32339786159551315,0.5585148028815083
FERMENTATION-PWY,0.12516972708409452,0.24694164774266317
FOLSYN-PWY,0.12486950299568543,0.213598666960797
