metagene,log2foldchange_M,q-value_M
1CMET2-PWY,-0.0119866030332295,1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.9051926429716232,1
AEROBACTINSYN-PWY,0.714745459434159,1
ALL-CHORISMATE-PWY,0.673562817060682,1
ANAEROFRUCAT-PWY,0.1163134199379528,1
ANAGLYCOLYSIS-PWY,0.0380976222822819,1
ARG+POLYAMINE-SYN,0.0888127862450803,1
ARGDEG-PWY,0.6518465468341115,1
ARGORNPROST-PWY,-0.1838627313116211,1
ARGSYN-PWY,0.0182542358732238,1
ARGSYNBSUB-PWY,0.0313872694178961,1
ARO-PWY,0.1033015986277796,1
ASPASN-PWY,0.345868822805829,1
AST-PWY,0.596431354906363,1
BIOTIN-BIOSYNTHESIS-PWY,0.2859857623098418,1
BRANCHED-CHAIN-AA-SYN-PWY,-0.1516324356192337,1
CALVIN-PWY,0.0754740468949906,1
CATECHOL-ORTHO-CLEAVAGE-PWY,-0.963482702689691,1
CENTFERM-PWY,-0.0076925398564279,1
COA-PWY,0.0887984541186264,1
COBALSYN-PWY,0.1504381648052698,1
CODH-PWY,0.1163220255254759,1
COLANSYN-PWY,0.1834503935402806,1
COMPLETE-ARO-PWY,0.0972908933335989,1
DAPLYSINESYN-PWY,0.4768527964078299,1
DENOVOPURINE2-PWY,-0.1543149153846957,1
DTDPRHAMSYN-PWY,0.247845542264908,1
ECASYN-PWY,0.5694742357076138,1
ENTBACSYN-PWY,0.2988868996258177,1
FAO-PWY,-0.159036392536092,1
FASYN-ELONG-PWY,-0.1908799593125678,1
FASYN-INITIAL-PWY,0.3466314744084965,1
FERMENTATION-PWY,-0.3013381648364742,1
FOLSYN-PWY,-0.2985401674863402,1
FUC-RHAMCAT-PWY,0.0215818717429229,1
FUCCAT-PWY,0.0947053010790273,1
GALACT-GLUCUROCAT-PWY,0.2583899916711527,1
GALACTARDEG-PWY,0.4980327429384535,1
GALACTUROCAT-PWY,0.2847292838789689,1
GALLATE-DEGRADATION-I-PWY,-0.472538689890203,1
GALLATE-DEGRADATION-II-PWY,-0.5685569694831821,1
GLCMANNANAUT-PWY,-0.2191402346148148,1
GLUCARDEG-PWY,0.532079409119545,1
GLUCARGALACTSUPER-PWY,0.4980327429384535,1
GLUCONEO-PWY,-0.1377018684478256,1
GLUCOSE1PMETAB-PWY,0.1538345744902279,1
GLUCUROCAT-PWY,0.3009606158591422,1
GLUTORN-PWY,-0.0145329616031087,1
GLYCOCAT-PWY,0.0708987844398501,1
GLYCOGENSYNTH-PWY,0.4997488445846055,1
GLYCOL-GLYOXDEG-PWY,0.2376180752323492,1
GLYCOLYSIS,0.0909630875012866,1
GLYCOLYSIS-E-D,0.4444444197174092,1
GLYCOLYSIS-TCA-GLYOX-BYPASS,-0.2738086298001785,1
GLYOXYLATE-BYPASS,-0.2442687025360276,1
GOLPDLCAT-PWY,-0.553076036241708,1
HCAMHPDEG-PWY,-0.730739337381798,1
HEME-BIOSYNTHESIS-II,-0.4875754481610039,1
HEMESYN2-PWY,-0.401513893124473,1
HEXITOLDEGSUPER-PWY,0.2774989011312855,1
HISDEG-PWY,-0.3100941453679645,1
HISTSYN-PWY,0.0005291268245405101,1
HOMOSER-METSYN-PWY,0.1095421856583875,1
HSERMETANA-PWY,-0.2867310192733227,1
ILEUSYN-PWY,-0.1574259939023149,1
KDO-NAGLIPASYN-PWY,0.7038969945548958,1
KETOGLUCONMET-PWY,0.1594696922105719,1
LACTOSECAT-PWY,-0.0482868009954642,1
LEU-DEG2-PWY,-0.5791485269109216,1
LPSSYN-PWY,-0.7333665561129408,1
MET-SAM-PWY,0.1142184353980533,1
METH-ACETATE-PWY,0.0813577613075585,1
METHGLYUT-PWY,-0.064356955029325,1
METHYLGALLATE-DEGRADATION-PWY,-0.4808766633136472,1
NAD-BIOSYNTHESIS-II,-0.116033271116187,1
NAGLIPASYN-PWY,-0.0119301195957671,1
NONMEVIPP-PWY,0.3187212654894635,1
NONOXIPENT-PWY,0.104365455340791,1
OANTIGEN-PWY,0.2473325667930452,1
ORNARGDEG-PWY,0.6518465468341115,1
ORNDEG-PWY,0.4896356606110514,1
P101-PWY,-0.6667113622963136,1
P105-PWY,-0.1449583729244006,1
P108-PWY,-0.3658007281979285,1
P122-PWY,0.1358694698289979,1
P124-PWY,0.1370168851314436,1
P125-PWY,-0.9086925404561907,1
P161-PWY,0.0763116264533058,1
P162-PWY,0.0820924372351543,1
P163-PWY,0.2154955732268935,1
P164-PWY,0.348476836847386,1
P184-PWY,-0.5370255252895111,1
P221-PWY,-0.5675678298454694,1
P23-PWY,-0.0243960665022507,1
P261-PWY,-0.6891309947760956,1
P281-PWY,0.308113732857369,1
P341-PWY,-0.5194156461364277,1
P381-PWY,-0.2422237994155807,1
P4-PWY,0.3280802717572205,1
P42-PWY,-0.6170559196978741,1
P441-PWY,0.2265354172091506,1
P461-PWY,0.4415238394707973,1
P562-PWY,-0.0760558434438412,1
PANTO-PWY,-0.0927231093416074,1
PANTOSYN-PWY,-0.0610214285430059,1
PENTOSE-P-PWY,-0.127995642004117,1
PEPTIDOGLYCANSYN-PWY,0.0619886075273528,1
PHOSLIPSYN-PWY,0.0683605628914643,1
POLYAMINSYN3-PWY,-0.5176486731528117,1
POLYAMSYN-PWY,0.0718895552177468,1
POLYISOPRENSYN-PWY,-0.0855814152858019,1
PPGPPMET-PWY,0.3989674319856409,1
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,-0.4158454459282302,1
PRPP-PWY,-0.1728646997213052,1
PWY-1269,0.0937850448852772,1
PWY-1861,-0.2538768821192085,1
PWY-2941,0.2571265189712738,1
PWY-2942,0.0202645122712151,1
PWY-3001,-0.1086813436655551,1
PWY-3781,-0.9854422572167604,1
PWY-4722,-0.0120299994324567,1
PWY-4984,0.0887264446010599,1
PWY-5005,-0.3928848471195766,1
PWY-5022,-0.5856758166325804,1
PWY-5028,0.5654380541923456,1
PWY-5097,0.4136508865961473,1
PWY-5100,0.0280936610396209,1
PWY-5101,-0.1382045746172643,1
PWY-5103,-0.1508546717603845,1
PWY-5104,0.334906744330412,1
PWY-5121,0.2944594535134745,1
PWY-5154,-0.0376009182483398,1
PWY-5177,-0.1638385636984692,1
PWY-5178,-0.7555669938067815,1
PWY-5180,-0.3496949789153553,1
PWY-5181,0.5466578089700629,1
PWY-5182,-0.3496949789153553,1
PWY-5188,-0.3115529438901182,1
PWY-5189,-0.2096216295708217,1
PWY-5265,0.1881405352824688,1
PWY-5266,-0.175287024569118,1
PWY-5273,-0.175287024569118,1
PWY-5304,-0.2540540306613624,1
PWY-5345,-0.2976274880361073,1
PWY-5347,0.2445422493171536,1
PWY-5384,0.0724544739966376,1
PWY-5415,-0.5122465800366773,1
PWY-5417,-0.1570446452062805,1
PWY-5419,-0.5308792928382196,1
PWY-5420,-0.5390826270035863,1
PWY-5431,-0.1570446452062805,1
PWY-5484,0.0747251758451327,1
PWY-5505,0.2715908746147318,1
PWY-5507,-0.3003444141230015,1
PWY-5509,0.1161759848597357,1
PWY-5532,0.7276888693760108,1
PWY-5659,-0.0723120708997943,1
PWY-5667,0.0552450975271008,1
PWY-5676,0.5267843159086221,1
PWY-5677,0.4244161281857154,1
PWY-5686,0.0509866473645305,1
PWY-5695,-0.0455085587078055,1
PWY-5705,0.079391538428441,1
PWY-5747,-0.0552641752179901,1
PWY-5837,-0.5966980724315558,1
PWY-5838,-0.1276288484875051,1
PWY-5840,-0.5577268547937299,1
