id,(Intercept),Patient_SexM
1CMET2-PWY,0.15957214369698053,0.23312986929510918
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.3736836286372899,0.5152516156627097
AEROBACTINSYN-PWY,0.37515818956221186,0.5233064148753763
ALL-CHORISMATE-PWY,0.4161716014404823,0.5486968598013409
ANAEROFRUCAT-PWY,0.18379330287535064,0.26234972732785367
ANAGLYCOLYSIS-PWY,0.1721923091094686,0.2516063244890294
ARG+POLYAMINE-SYN,0.19407344559652548,0.25704157397952926
ARGDEG-PWY,0.4015704771766749,0.5492468535139454
ARGORNPROST-PWY,0.24492841637054358,0.3176174927059052
ARGSYN-PWY,0.16112664752916375,0.2208167650152557
ARGSYNBSUB-PWY,0.15977933140202555,0.2217957496424041
ARO-PWY,0.1608954537603351,0.22515806446841435
ASPASN-PWY,0.18603914541944128,0.24436673202538978
AST-PWY,0.3809946742280437,0.5323211655104612
BIOTIN-BIOSYNTHESIS-PWY,0.40221050298868355,0.5368254686836332
BRANCHED-CHAIN-AA-SYN-PWY,0.15656549944520695,0.22207745799717352
CALVIN-PWY,0.15250981210699566,0.22329545922551847
CATECHOL-ORTHO-CLEAVAGE-PWY,0.41039268880187574,0.5569222993007825
CENTFERM-PWY,0.2337449525137443,0.34400090485567747
COA-PWY,0.17739783963464925,0.2562883232202078
COBALSYN-PWY,0.20653981118242182,0.3246853796974447
CODH-PWY,0.34481787734257535,0.49401951399478544
COLANSYN-PWY,0.3199664472259797,0.4072372924360205
COMPLETE-ARO-PWY,0.16036923023293834,0.2243771869620777
DAPLYSINESYN-PWY,0.1631981449571251,0.21444338010331387
DENOVOPURINE2-PWY,0.20238003110116692,0.27725576853946227
DTDPRHAMSYN-PWY,0.17585600719742964,0.2714116618568382
ECASYN-PWY,0.39804432923094185,0.5494537310349703
ENTBACSYN-PWY,0.3837196830610318,0.5293709538645563
FAO-PWY,0.2764724153249394,0.4048036197571917
FASYN-ELONG-PWY,0.24336094759438903,0.32814178408664724
FASYN-INITIAL-PWY,0.4063370348598735,0.5483652375624626
FERMENTATION-PWY,0.18026637847766744,0.24249309455236873
FOLSYN-PWY,0.16857141551785085,0.21064545952430702
FUC-RHAMCAT-PWY,0.2264733904762611,0.31340835239214243
FUCCAT-PWY,0.28178271592697013,0.3907883255092415
GALACT-GLUCUROCAT-PWY,0.23044715655395642,0.3262951847245268
