metagene,log2foldchange_liquid,log2foldchange_semi-formed,q-value_liquid,q-value_semi-formed
1CMET2-PWY,0.0578826951692664,0.0558045690964985,1.0,1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-0.2244309274042338,0.013954076913587,1.0,1
AEROBACTINSYN-PWY,-0.6716530665261817,-0.3160637265836599,1.0,1
ALL-CHORISMATE-PWY,-0.5169098458622181,-0.5104863025218138,1.0,1
ANAEROFRUCAT-PWY,-0.1222142440828845,-0.0208910786674151,1.0,1
ANAGLYCOLYSIS-PWY,0.0209304013501536,0.101746585948911,1.0,1
ARG+POLYAMINE-SYN,-0.3296017298654099,-0.4582337027025227,1.0,1
ARGDEG-PWY,-0.6325764959414806,-0.5318108457935202,1.0,1
ARGORNPROST-PWY,-0.483555713920291,-0.149597238567497,1.0,1
ARGSYN-PWY,0.1001755912015055,-0.1298219156334694,1.0,1
ARGSYNBSUB-PWY,0.1901587855398778,-0.1348598422504699,1.0,1
ARO-PWY,0.0020305457340894,-0.0620218947216549,1.0,1
ASPASN-PWY,0.1441288643512983,0.1883688426106635,1.0,1
AST-PWY,-0.8248202224973462,-0.5296451065527924,1.0,1
BIOTIN-BIOSYNTHESIS-PWY,-0.4594182363047248,-0.0040444056292732,1.0,1
BRANCHED-CHAIN-AA-SYN-PWY,0.1658476685316708,-0.024892368646834,1.0,1
CALVIN-PWY,0.0487507409327874,0.0535600483231589,1.0,1
CATECHOL-ORTHO-CLEAVAGE-PWY,1.5393369449464285,0.7187954928235757,1.0,1
CENTFERM-PWY,0.3732770519590925,0.0307411323778718,1.0,1
COA-PWY,0.0177266512056215,0.1344067165639714,1.0,1
COBALSYN-PWY,0.5394459337356587,0.5468030506299429,1.0,1
CODH-PWY,1.113778073590698,0.8857334770529609,1.0,1
COLANSYN-PWY,-0.6492459737404173,-0.419040935008218,1.0,1
COMPLETE-ARO-PWY,0.0091271708617957,-0.0581507261864824,1.0,1
DAPLYSINESYN-PWY,0.2481295424469258,-0.0795967571795518,1.0,1
DENOVOPURINE2-PWY,-0.2403995446287471,-0.0858123592167128,1.0,1
DTDPRHAMSYN-PWY,0.4614961471665966,0.4092429781266763,1.0,1
ECASYN-PWY,-0.8448583659046665,-0.6857107746040393,1.0,1
ENTBACSYN-PWY,-0.5150848702202191,-0.5460887463275227,1.0,1
FAO-PWY,0.1319064118689801,-0.4901593258134751,1.0,1
FASYN-ELONG-PWY,-0.8436346584237346,-0.1869757130355837,1.0,1
FASYN-INITIAL-PWY,-0.7726957357550523,-0.22259981477461,1.0,1
FERMENTATION-PWY,-0.2598131453807907,-0.0617998425741501,1.0,1
FOLSYN-PWY,-0.212796691590297,-0.1422593696834764,1.0,1
FUC-RHAMCAT-PWY,0.4515636758282238,0.176588352646955,1.0,1
FUCCAT-PWY,0.7321270257234102,0.4388968076343545,1.0,1
GALACT-GLUCUROCAT-PWY,0.3138662408898074,0.1242800941838508,1.0,1
GALACTARDEG-PWY,-0.1169515322674012,-0.8627641537458365,1.0,1
GALACTUROCAT-PWY,0.3251658991797829,0.2887949103954748,1.0,1
GALLATE-DEGRADATION-I-PWY,1.373651474786699,0.1977233337529713,1.0,1
GALLATE-DEGRADATION-II-PWY,1.3953920393422876,0.1018888172420022,1.0,1
GLCMANNANAUT-PWY,0.1509828919749514,0.0763206175962937,1.0,1
GLUCARDEG-PWY,-0.0557830837214263,-0.6114086898869525,1.0,1
GLUCARGALACTSUPER-PWY,-0.1169515322674012,-0.8627641537458365,1.0,1
GLUCONEO-PWY,-0.4051561752463741,-0.2787615288946015,1.0,1
GLUCOSE1PMETAB-PWY,-1.2421673361567769,-0.8988601118041056,1.0,1
GLUCUROCAT-PWY,0.3075267796404507,0.0349000109499866,1.0,1
GLUTORN-PWY,0.2354628256579737,0.0073289098484419,1.0,1
GLYCOCAT-PWY,0.180034871756777,0.1375305825384613,1.0,1
GLYCOGENSYNTH-PWY,0.3067291974578646,-0.083411260238975,1.0,1
GLYCOL-GLYOXDEG-PWY,0.1525844632001114,0.2057171252849718,1.0,1
GLYCOLYSIS,-0.1053157213675773,0.0339875276296607,1.0,1
GLYCOLYSIS-E-D,-0.1051907600636451,-0.4238971670049751,1.0,1
GLYCOLYSIS-TCA-GLYOX-BYPASS,-0.0928884580942442,-0.6309096027040676,1.0,1
GLYOXYLATE-BYPASS,0.0371004649551891,-0.4048766136563078,1.0,1
GOLPDLCAT-PWY,0.6839715392570069,0.1971926343122883,1.0,1
HCAMHPDEG-PWY,1.104084733676555,0.3047206091375807,1.0,1
HEME-BIOSYNTHESIS-II,-0.2301026464377568,-0.5257327798632544,1.0,1
HEMESYN2-PWY,-0.0261483112351381,-0.3309444677608051,1.0,1
HEXITOLDEGSUPER-PWY,-0.2893847079457383,-0.3226902712715042,1.0,1
HISDEG-PWY,-0.387846125622725,-0.4384926024488627,1.0,1
HISTSYN-PWY,0.1465929831103974,-0.0058762239975502,1.0,1
HOMOSER-METSYN-PWY,0.0287686739418332,-0.2954856228655781,1.0,1
