id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
1CMET2-PWY,0.21557751936696845,0.29479300549618415,0.287477232325363
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.5584953433429428,0.7000276110354106,0.67540228194203
AEROBACTINSYN-PWY,0.5541716040403175,0.696926665832654,0.6776669330631747
ALL-CHORISMATE-PWY,0.5504134546187204,0.7005296148547676,0.7106004651975841
ANAEROFRUCAT-PWY,0.23333108624070525,0.30726308327432994,0.33861554175462977
ANAGLYCOLYSIS-PWY,0.21649240166155706,0.3009157926008572,0.3130349434859797
ARG+POLYAMINE-SYN,0.2579928937831444,0.3101615751223417,0.3439284131326987
ARGDEG-PWY,0.5594955474032441,0.70972892581614,0.7103793128122772
ARGORNPROST-PWY,0.2877222004089974,0.36096305606195206,0.4175613780440708
ARGSYN-PWY,0.19803025983593064,0.2754879327970976,0.26941480189549544
ARGSYNBSUB-PWY,0.2014687261441098,0.2760455713798355,0.2735604385453742
ARO-PWY,0.1832744484983207,0.26730093194053384,0.27317655862870044
ASPASN-PWY,0.2153549743603644,0.2980933922904209,0.30534455996900944
AST-PWY,0.5544143861275118,0.7004617938697484,0.6838385932675446
BIOTIN-BIOSYNTHESIS-PWY,0.5683916841149718,0.6666164618748397,0.73829197070279
BRANCHED-CHAIN-AA-SYN-PWY,0.19824740216531778,0.27643272341661096,0.27261957386953395
CALVIN-PWY,0.17868958864242698,0.2658844220908905,0.26805250227999045
CATECHOL-ORTHO-CLEAVAGE-PWY,0.5558299073245734,0.7351048771614839,0.6869937973188985
CENTFERM-PWY,0.3643797747222179,0.44393919661901454,0.4603716575141072
COA-PWY,0.22342379619823713,0.30603473498926814,0.32166495451962596
COBALSYN-PWY,0.34072617432931945,0.4308847672458964,0.41710326617700494
CODH-PWY,0.4443908317580619,0.5924726496815583,0.6207400431113227
COLANSYN-PWY,0.3671112197619275,0.45315699368147905,0.5429879896856277
COMPLETE-ARO-PWY,0.18294722884960554,0.26672962439168363,0.27212922103615467
DAPLYSINESYN-PWY,0.18494386105449606,0.2565009311739366,0.27476465711839726
DENOVOPURINE2-PWY,0.25072689191642267,0.32135305255971325,0.36260542015548486
DTDPRHAMSYN-PWY,0.24554359556998637,0.3277134852860122,0.34650124473763405
ECASYN-PWY,0.5514892976154429,0.7024147826335921,0.7053607210517446
ENTBACSYN-PWY,0.5428166685501541,0.6781402585618198,0.6909049671510665
FAO-PWY,0.4129765688339921,0.5241983774848678,0.5206664966232465
FASYN-ELONG-PWY,0.2633074207040465,0.36199810049781683,0.4023863969880591
FASYN-INITIAL-PWY,0.572130377813657,0.67904299840578,0.7446231054680873
FERMENTATION-PWY,0.2421725655175423,0.2993337368031441,0.3209909566965892
FOLSYN-PWY,0.19336544774394615,0.2545568757660814,0.2680491863869467
FUC-RHAMCAT-PWY,0.3145749527059723,0.4168734778276374,0.38660251809808344
FUCCAT-PWY,0.37104228187855187,0.4950048797705307,0.4856648407414588
GALACT-GLUCUROCAT-PWY,0.2721893650251468,0.385327662287408,0.4058591814098488
GALACTARDEG-PWY,0.3749302755235956,0.5201946276098286,0.5269017692338157
GALACTUROCAT-PWY,0.27623069810950784,0.4016239104425192,0.40520482782777484
GALLATE-DEGRADATION-I-PWY,0.5257636573655081,0.7279376687620545,0.68537630146632
GALLATE-DEGRADATION-II-PWY,0.5255314910785077,0.727833338120672,0.6878972189860226
GLCMANNANAUT-PWY,0.25956852433044686,0.35058797023292715,0.3253338526337093
GLUCARDEG-PWY,0.38565599691588903,0.5236010288718735,0.5353330700204542
GLUCARGALACTSUPER-PWY,0.3749302755235956,0.5201946276098286,0.5269017692338157
GLUCONEO-PWY,0.21114715935376885,0.2883781014979112,0.2986844421856382
GLUCOSE1PMETAB-PWY,0.5474601973952832,0.6952569596196116,0.7089196774557748
GLUCUROCAT-PWY,0.30582437660510853,0.41890839920967315,0.4370088586889412
GLUTORN-PWY,0.21945087424185497,0.2936934321987892,0.2923534789910263
GLYCOCAT-PWY,0.1859662146819023,0.2806443150262189,0.2634883394601675
GLYCOGENSYNTH-PWY,0.2390715371220741,0.35458775559516253,0.3217225605274167
GLYCOL-GLYOXDEG-PWY,0.371442325773837,0.45737496638119307,0.4917075363982348
GLYCOLYSIS,0.22387541687985324,0.29638811918973634,0.32740782953075603
GLYCOLYSIS-E-D,0.277400366120527,0.33063800623471207,0.42573249377773537
GLYCOLYSIS-TCA-GLYOX-BYPASS,0.3533094113790197,0.4457272478778974,0.48984675764265706
