Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	0.436109438342904	0.436109438342904	7.77116977183075	0.072487967215129	0.001
Stool_Consistency	2	0.121254705747173	0.0606273528735863	1.08033766429718	0.0201543611811725	0.337
Patient_Sex	1	0.0691855804655723	0.0691855804655723	1.23283938454429	0.0114996871143265	0.256
Sample_Day	1	0.152865393041336	0.152865393041336	2.72395600075916	0.0254085342459282	0.022
Recovery_Day	1	0.029719938098827	0.029719938098827	0.529588823970114	0.00493990202718228	0.824
Cohort_Number:Stool_Consistency	2	0.0975206029762478	0.0487603014881239	0.868874983374979	0.0162093952797774	0.558
Cohort_Number:Patient_Sex	1	0.0763191532990202	0.0763191532990202	1.35995473838548	0.0126853945267653	0.188
Stool_Consistency:Patient_Sex	2	0.0768569750603676	0.0384284875301838	0.684769175843723	0.0127747886163596	0.768
Stool_Consistency:Sample_Day	2	0.101646686059367	0.0508233430296837	0.905636962493613	0.0168952125287518	0.526
Patient_Sex:Sample_Day	1	0.0675585549121276	0.0675585549121276	1.2038469099788	0.011229250924217	0.278
Cohort_Number:Recovery_Day	1	0.0733850373892724	0.0733850373892724	1.30767081407621	0.0121977002024248	0.218
Stool_Consistency:Recovery_Day	2	0.0753364828412491	0.0376682414206245	0.671222113876416	0.0125220598734342	0.797
Patient_Sex:Recovery_Day	1	0.0558114083494956	0.0558114083494956	0.994520850401494	0.00927669796379733	0.404
Sample_Day:Recovery_Day	1	0.0311126315251316	0.0311126315251316	0.55440566145258	0.00517138868294072	0.802
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.0558744015532258	0.0279372007766129	0.497821672949154	0.00928716838448834	0.966
Stool_Consistency:Patient_Sex:Sample_Day	2	0.085576581775582	0.042788290887791	0.762457868371225	0.0142241187847297	0.688
Cohort_Number:Stool_Consistency:Recovery_Day	2	0.259605033336667	0.129802516668333	2.31299143094302	0.0431502725941794	0.011
Cohort_Number:Patient_Sex:Recovery_Day	1	0.019965531324841	0.019965531324841	0.355772014702761	0.0033185724794375	0.973
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.0641732636280359	0.0320866318140179	0.571761675648257	0.0106665644468334	0.875
Stool_Consistency:Sample_Day:Recovery_Day	2	0.111990281606687	0.0559951408033433	0.997794836162662	0.0186144741383368	0.438
Patient_Sex:Sample_Day:Recovery_Day	1	0.121671199487131	0.121671199487131	2.16809696013351	0.02022358872342	0.05
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.108553719525038	0.0542768597625189	0.967176251674552	0.0180432656809967	0.43
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	0.188718313895067	0.0943591569475335	1.6814151763199	0.0313678305209343	0.067
Residuals	63	3.53549020575963	0.0561188921549148	NA	0.587651803864437	NA
Total	98	6.01630112	NA	NA	1	NA
