	SubjectID1	SubjectID2	Group1	Group2	Distance
0	EG2559	EG2580	After abduction	After abduction	0.2058
1	EG2473	EG2580	After abduction	After abduction	0.198
2	EG2473	EG2559	After abduction	After abduction	0.25
3	EG2392	EG2580	After abduction	After abduction	0.1968
4	EG2392	EG2559	After abduction	After abduction	0.2708
5	EG2392	EG2473	After abduction	After abduction	0.2436
6	EG2391	EG2580	After abduction	After abduction	0.422
7	EG2391	EG2559	After abduction	After abduction	0.4864
8	EG2391	EG2473	After abduction	After abduction	0.3932
9	EG2391	EG2392	After abduction	After abduction	0.4844
10	EG2018	EG2580	After abduction	After abduction	0.2526
11	EG2018	EG2559	After abduction	After abduction	0.2642
12	EG2018	EG2473	After abduction	After abduction	0.2858
13	EG2018	EG2392	After abduction	After abduction	0.2284
14	EG2018	EG2391	After abduction	After abduction	0.5534
15	EG1990	EG2580	After abduction	After abduction	0.512
16	EG1990	EG2559	After abduction	After abduction	0.5516
17	EG1990	EG2473	After abduction	After abduction	0.4826
18	EG1990	EG2392	After abduction	After abduction	0.5598
19	EG1990	EG2391	After abduction	After abduction	0.2466
20	EG1990	EG2018	After abduction	After abduction	0.6202
21	EG1940	EG2580	After abduction	After abduction	0.2208
22	EG1940	EG2559	After abduction	After abduction	0.283
23	EG1940	EG2473	After abduction	After abduction	0.2086
24	EG1940	EG2392	After abduction	After abduction	0.239
25	EG1940	EG2391	After abduction	After abduction	0.4814
26	EG1940	EG2018	After abduction	After abduction	0.2158
27	EG1940	EG1990	After abduction	After abduction	0.5632
28	EG0118	EG2580	After abduction	After abduction	0.3936
29	EG0118	EG2559	After abduction	After abduction	0.4038
30	EG0118	EG2473	After abduction	After abduction	0.3922
31	EG0118	EG2392	After abduction	After abduction	0.3494
32	EG0118	EG2391	After abduction	After abduction	0.4694
33	EG0118	EG2018	After abduction	After abduction	0.4402
34	EG0118	EG1990	After abduction	After abduction	0.5216
35	EG0118	EG1940	After abduction	After abduction	0.4576
36	EG1939	EG2580	After abduction	After abduction	0.3632
37	EG1939	EG2559	After abduction	After abduction	0.4136
38	EG1939	EG2473	After abduction	After abduction	0.3146
39	EG1939	EG2392	After abduction	After abduction	0.3766
40	EG1939	EG2391	After abduction	After abduction	0.292
41	EG1939	EG2018	After abduction	After abduction	0.4216
42	EG1939	EG1990	After abduction	After abduction	0.4184
43	EG1939	EG1940	After abduction	After abduction	0.3514
44	EG1939	EG0118	After abduction	After abduction	0.376
45	EG1892	EG2580	After abduction	After abduction	0.2366
46	EG1892	EG2559	After abduction	After abduction	0.287
47	EG1892	EG2473	After abduction	After abduction	0.2692
48	EG1892	EG2392	After abduction	After abduction	0.2384
49	EG1892	EG2391	After abduction	After abduction	0.4964
50	EG1892	EG2018	After abduction	After abduction	0.3176
51	EG1892	EG1990	After abduction	After abduction	0.5506
52	EG1892	EG1940	After abduction	After abduction	0.266
53	EG1892	EG0118	After abduction	After abduction	0.4102
54	EG1892	EG1939	After abduction	After abduction	0.416
55	EG1878	EG2580	After abduction	After abduction	0.2782
56	EG1878	EG2559	After abduction	After abduction	0.2602
57	EG1878	EG2473	After abduction	After abduction	0.3382
58	EG1878	EG2392	After abduction	After abduction	0.3116
59	EG1878	EG2391	After abduction	After abduction	0.5358
60	EG1878	EG2018	After abduction	After abduction	0.2502
61	EG1878	EG1990	After abduction	After abduction	0.6034
62	EG1878	EG1940	After abduction	After abduction	0.3072
63	EG1878	EG0118	After abduction	After abduction	0.5046
64	EG1878	EG1939	After abduction	After abduction	0.4728
65	EG1878	EG1892	After abduction	After abduction	0.313
66	EG0101	EG2580	After abduction	After abduction	0.2308
67	EG0101	EG2559	After abduction	After abduction	0.2298
68	EG0101	EG2473	After abduction	After abduction	0.2974
69	EG0101	EG2392	After abduction	After abduction	0.2938
70	EG0101	EG2391	After abduction	After abduction	0.448
71	EG0101	EG2018	After abduction	After abduction	0.2458
72	EG0101	EG1990	After abduction	After abduction	0.5448
73	EG0101	EG1940	After abduction	After abduction	0.2916
74	EG0101	EG0118	After abduction	After abduction	0.4598
75	EG0101	EG1939	After abduction	After abduction	0.4256
76	EG0101	EG1892	After abduction	After abduction	0.322
77	EG0101	EG1878	After abduction	After abduction	0.1924
78	EG1772	EG2580	After abduction	After abduction	0.2392
79	EG1772	EG2559	After abduction	After abduction	0.232
80	EG1772	EG2473	After abduction	After abduction	0.2722
81	EG1772	EG2392	After abduction	After abduction	0.242
82	EG1772	EG2391	After abduction	After abduction	0.5584
83	EG1772	EG2018	After abduction	After abduction	0.1894
84	EG1772	EG1990	After abduction	After abduction	0.62
85	EG1772	EG1940	After abduction	After abduction	0.2374
86	EG1772	EG0118	After abduction	After abduction	0.4848
87	EG1772	EG1939	After abduction	After abduction	0.4628
88	EG1772	EG1892	After abduction	After abduction	0.2962
89	EG1772	EG1878	After abduction	After abduction	0.2058
90	EG1772	EG0101	After abduction	After abduction	0.2042
91	EG1673	EG2580	After abduction	After abduction	0.303
92	EG1673	EG2559	After abduction	After abduction	0.3554
93	EG1673	EG2473	After abduction	After abduction	0.2814
94	EG1673	EG2392	After abduction	After abduction	0.288
95	EG1673	EG2391	After abduction	After abduction	0.3364
96	EG1673	EG2018	After abduction	After abduction	0.3484
97	EG1673	EG1990	After abduction	After abduction	0.4518
98	EG1673	EG1940	After abduction	After abduction	0.3102
99	EG1673	EG0118	After abduction	After abduction	0.2988
100	EG1673	EG1939	After abduction	After abduction	0.154
101	EG1673	EG1892	After abduction	After abduction	0.357
102	EG1673	EG1878	After abduction	After abduction	0.41
103	EG1673	EG0101	After abduction	After abduction	0.3652
104	EG1673	EG1772	After abduction	After abduction	0.3856
105	EG1637	EG2580	After abduction	After abduction	0.3228
106	EG1637	EG2559	After abduction	After abduction	0.3008
107	EG1637	EG2473	After abduction	After abduction	0.3784
108	EG1637	EG2392	After abduction	After abduction	0.3316
109	EG1637	EG2391	After abduction	After abduction	0.5806
110	EG1637	EG2018	After abduction	After abduction	0.2838
111	EG1637	EG1990	After abduction	After abduction	0.6396
112	EG1637	EG1940	After abduction	After abduction	0.3518
113	EG1637	EG0118	After abduction	After abduction	0.5114
114	EG1637	EG1939	After abduction	After abduction	0.5066
115	EG1637	EG1892	After abduction	After abduction	0.3482
116	EG1637	EG1878	After abduction	After abduction	0.2146
117	EG1637	EG0101	After abduction	After abduction	0.246
118	EG1637	EG1772	After abduction	After abduction	0.213
119	EG1637	EG1673	After abduction	After abduction	0.4384
120	EG1572	EG2580	After abduction	After abduction	0.3164
121	EG1572	EG2559	After abduction	After abduction	0.2964
122	EG1572	EG2473	After abduction	After abduction	0.3838
123	EG1572	EG2392	After abduction	After abduction	0.3192
124	EG1572	EG2391	After abduction	After abduction	0.6
125	EG1572	EG2018	After abduction	After abduction	0.2598
126	EG1572	EG1990	After abduction	After abduction	0.6682
127	EG1572	EG1940	After abduction	After abduction	0.333
128	EG1572	EG0118	After abduction	After abduction	0.5218
129	EG1572	EG1939	After abduction	After abduction	0.5214
130	EG1572	EG1892	After abduction	After abduction	0.3342
131	EG1572	EG1878	After abduction	After abduction	0.2126
132	EG1572	EG0101	After abduction	After abduction	0.2322
133	EG1572	EG1772	After abduction	After abduction	0.1814
134	EG1572	EG1673	After abduction	After abduction	0.4488
135	EG1572	EG1637	After abduction	After abduction	0.1634
136	EG1524	EG2580	After abduction	After abduction	0.4702
137	EG1524	EG2559	After abduction	After abduction	0.5132
