Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
Cohort_Number	1	0.410822709940864	0.410822709940864	7.49723507917756	0.0736338904774605	0.001
Stool_Consistency	2	0.0932423019789934	0.0466211509894967	0.850804301155603	0.0167123026202125	0.598
Patient_Sex	1	0.039637888665387	0.039637888665387	0.723364512661558	0.00710450489254844	0.651
Sample_Day	1	0.0983855540985673	0.0983855540985673	1.79546945585914	0.0176341544412211	0.104
Recovery_Day	1	0.0461083084155813	0.0461083084155813	0.841445272936819	0.008264231868931	0.516
Cohort_Number:Stool_Consistency	2	0.0850817795818268	0.0425408897909134	0.776342309035866	0.0152496497583044	0.719
Cohort_Number:Patient_Sex	1	0.0648660318891826	0.0648660318891826	1.18376097026533	0.0116262761825486	0.258
Stool_Consistency:Patient_Sex	2	0.0922139726089176	0.0461069863044588	0.841421145307926	0.0165279898001597	0.587
Stool_Consistency:Sample_Day	2	0.0854903057790549	0.0427451528895275	0.780069971677815	0.0153228720328671	0.673
Patient_Sex:Sample_Day	1	0.0411817768492064	0.0411817768492064	0.751539422105403	0.00738122399956463	0.577
Cohort_Number:Recovery_Day	1	0.0743225522050988	0.0743225522050988	1.35633603518725	0.0133212174902973	0.198
Stool_Consistency:Recovery_Day	2	0.0543925072908888	0.0271962536454444	0.496313134398501	0.00974905190910283	0.945
Patient_Sex:Recovery_Day	1	0.0332021486214762	0.0332021486214762	0.605916633442269	0.00595099374024883	0.758
Sample_Day:Recovery_Day	1	0.0890760569041738	0.0890760569041738	1.62557746292292	0.0159655648520261	0.128
Cohort_Number:Stool_Consistency:Patient_Sex	2	0.0652602311678858	0.0326301155839429	0.595477419514537	0.0116969305690077	0.891
Stool_Consistency:Patient_Sex:Sample_Day	2	0.111336786063096	0.0556683930315482	1.01591031590645	0.0199554710893723	0.394
Cohort_Number:Stool_Consistency:Recovery_Day	2	0.157394149876525	0.0786970749382626	1.43616810020248	0.0282105718923604	0.135
Cohort_Number:Patient_Sex:Recovery_Day	1	0.0356148616331682	0.0356148616331682	0.649947005156259	0.00638343683883519	0.709
Stool_Consistency:Patient_Sex:Recovery_Day	2	0.056062732056577	0.0280313660282885	0.5115533674728	0.0100484149786058	0.931
Stool_Consistency:Sample_Day:Recovery_Day	2	0.100114052548095	0.0500570262740477	0.913506688554594	0.0179439622060872	0.521
Patient_Sex:Sample_Day:Recovery_Day	1	0.108564893571276	0.108564893571276	1.98123547884417	0.0194586503849195	0.071
Cohort_Number:Stool_Consistency:Patient_Sex:Recovery_Day	2	0.0890466916685937	0.0445233458342968	0.812520783671607	0.0159603015681612	0.632
Stool_Consistency:Patient_Sex:Sample_Day:Recovery_Day	2	0.0956594989446935	0.0478297494723467	0.872860401568281	0.0171455494011911	0.537
Residuals	63	3.45218343201714	0.0547965624129704	NA	0.618752787005967	NA
Total	98	5.57926122437627	NA	NA	1	NA
