	SubjectID1	SubjectID2	Group1	Group2	Distance
0	EG2559	EG2580	After abduction	After abduction	0.271523178807947
1	EG2473	EG2580	After abduction	After abduction	0.39543726235741444
2	EG2473	EG2559	After abduction	After abduction	0.3882783882783883
3	EG2392	EG2580	After abduction	After abduction	0.14393939393939395
4	EG2392	EG2559	After abduction	After abduction	0.3010033444816054
5	EG2392	EG2473	After abduction	After abduction	0.368
6	EG2391	EG2580	After abduction	After abduction	0.38976377952755903
7	EG2391	EG2559	After abduction	After abduction	0.4584837545126354
8	EG2391	EG2473	After abduction	After abduction	0.31443298969072164
9	EG2391	EG2392	After abduction	After abduction	0.37448559670781895
10	EG2018	EG2580	After abduction	After abduction	0.2739273927392739
11	EG2018	EG2559	After abduction	After abduction	0.10175438596491228
12	EG2018	EG2473	After abduction	After abduction	0.39636363636363636
13	EG2018	EG2392	After abduction	After abduction	0.28619528619528617
14	EG2018	EG2391	After abduction	After abduction	0.4659498207885305
15	EG1990	EG2580	After abduction	After abduction	0.5748031496062992
16	EG1990	EG2559	After abduction	After abduction	0.6181818181818182
17	EG1990	EG2473	After abduction	After abduction	0.4946236559139785
18	EG1990	EG2392	After abduction	After abduction	0.5439330543933054
19	EG1990	EG2391	After abduction	After abduction	0.46551724137931033
20	EG1990	EG2018	After abduction	After abduction	0.6094890510948905
21	EG1940	EG2580	After abduction	After abduction	0.23076923076923078
22	EG1940	EG2559	After abduction	After abduction	0.1705685618729097
23	EG1940	EG2473	After abduction	After abduction	0.3862815884476534
24	EG1940	EG2392	After abduction	After abduction	0.23024054982817868
25	EG1940	EG2391	After abduction	After abduction	0.46099290780141844
26	EG1940	EG2018	After abduction	After abduction	0.1232876712328767
27	EG1940	EG1990	After abduction	After abduction	0.6079136690647482
28	EG0118	EG2580	After abduction	After abduction	0.5238095238095238
29	EG0118	EG2559	After abduction	After abduction	0.5766423357664233
30	EG0118	EG2473	After abduction	After abduction	0.49740932642487046
31	EG0118	EG2392	After abduction	After abduction	0.4957983193277311
32	EG0118	EG2391	After abduction	After abduction	0.46111111111111114
33	EG0118	EG2018	After abduction	After abduction	0.5571955719557196
34	EG0118	EG1990	After abduction	After abduction	0.4666666666666667
35	EG0118	EG1940	After abduction	After abduction	0.5667870036101083
36	EG1939	EG2580	After abduction	After abduction	0.2952755905511811
37	EG1939	EG2559	After abduction	After abduction	0.3892857142857143
38	EG1939	EG2473	After abduction	After abduction	0.3674418604651163
39	EG1939	EG2392	After abduction	After abduction	0.2967479674796748
40	EG1939	EG2391	After abduction	After abduction	0.3015075376884422
41	EG1939	EG2018	After abduction	After abduction	0.3971631205673759
42	EG1939	EG1990	After abduction	After abduction	0.484375
43	EG1939	EG1940	After abduction	After abduction	0.38162544169611307
44	EG1939	EG0118	After abduction	After abduction	0.41578947368421054
45	EG1892	EG2580	After abduction	After abduction	0.20220588235294118
46	EG1892	EG2559	After abduction	After abduction	0.2517241379310345
47	EG1892	EG2473	After abduction	After abduction	0.34552845528455284
48	EG1892	EG2392	After abduction	After abduction	0.18007662835249041
49	EG1892	EG2391	After abduction	After abduction	0.371900826446281
50	EG1892	EG2018	After abduction	After abduction	0.22996515679442509
51	EG1892	EG1990	After abduction	After abduction	0.5481171548117155
52	EG1892	EG1940	After abduction	After abduction	0.18374558303886926
53	EG1892	EG0118	After abduction	After abduction	0.5062761506276151
54	EG1892	EG1939	After abduction	After abduction	0.328
55	EG1878	EG2580	After abduction	After abduction	0.28807947019867547
56	EG1878	EG2559	After abduction	After abduction	0.10283687943262411
57	EG1878	EG2473	After abduction	After abduction	0.376865671641791
58	EG1878	EG2392	After abduction	After abduction	0.2891156462585034
59	EG1878	EG2391	After abduction	After abduction	0.4485294117647059
60	EG1878	EG2018	After abduction	After abduction	0.09252669039145907
61	EG1878	EG1990	After abduction	After abduction	0.6111111111111112
62	EG1878	EG1940	After abduction	After abduction	0.16271186440677965
63	EG1878	EG0118	After abduction	After abduction	0.5793357933579336
64	EG1878	EG1939	After abduction	After abduction	0.38405797101449274
65	EG1878	EG1892	After abduction	After abduction	0.2198581560283688
66	EG0101	EG2580	After abduction	After abduction	0.28104575163398693
67	EG0101	EG2559	After abduction	After abduction	0.10452961672473868
68	EG0101	EG2473	After abduction	After abduction	0.4028776978417266
69	EG0101	EG2392	After abduction	After abduction	0.28187919463087246
70	EG0101	EG2391	After abduction	After abduction	0.4607142857142857
71	EG0101	EG2018	After abduction	After abduction	0.07420494699646643
72	EG0101	EG1990	After abduction	After abduction	0.6137184115523465
73	EG0101	EG1940	After abduction	After abduction	0.12585034013605442
74	EG0101	EG0118	After abduction	After abduction	0.572463768115942
