d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Fusobacteriota
171831.0	14342.0	22.0	0.0	0.0	0.0	0.0	0.0	9211.0
224679.0	33491.0	0.0	0.0	8.0	0.0	40147.0	0.0	0.0
72.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
55.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
147007.0	990.0	0.0	0.0	164.0	0.0	689.0	10.0	0.0
172254.0	427.0	448.0	0.0	15.0	0.0	363.0	0.0	0.0
83579.0	6.0	0.0	14.0	1076.0	43.0	691.0	0.0	0.0
46473.0	0.0	0.0	5.0	0.0	0.0	36.0	0.0	0.0
25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110426.0	43.0	0.0	14.0	2445.0	0.0	22.0	0.0	0.0
101560.0	209.0	0.0	0.0	1105.0	0.0	44456.0	0.0	0.0
124193.0	5156.0	0.0	0.0	6838.0	4.0	28375.0	0.0	7.0
148218.0	377.0	0.0	0.0	8729.0	0.0	7517.0	0.0	0.0
156397.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
109803.0	20.0	0.0	0.0	0.0	0.0	12.0	0.0	200.0
92962.0	5898.0	0.0	0.0	0.0	0.0	5.0	0.0	43.0
83356.0	127.0	0.0	0.0	0.0	0.0	1089.0	0.0	0.0
72557.0	0.0	0.0	0.0	0.0	0.0	34692.0	0.0	0.0
120205.0	5028.0	0.0	0.0	6652.0	618.0	945.0	0.0	0.0
145407.0	1984.0	0.0	0.0	8806.0	121.0	51.0	0.0	0.0
195825.0	2545.0	0.0	8.0	0.0	0.0	68542.0	0.0	0.0
45.0	0.0	0.0	10.0	0.0	0.0	19.0	0.0	0.0
171997.0	2986.0	0.0	10.0	83.0	0.0	1264.0	0.0	0.0
190788.0	659.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
136035.0	28.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0
29579.0	0.0	0.0	0.0	7844.0	0.0	44226.0	0.0	3.0
92096.0	112.0	0.0	4634.0	103.0	123.0	7919.0	0.0	105.0
127287.0	554.0	0.0	2.0	9.0	0.0	63.0	0.0	0.0
154203.0	2389.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
33378.0	41963.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0
52956.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196320.0	59937.0	0.0	0.0	887.0	0.0	8402.0	4.0	0.0
121713.0	27134.0	0.0	0.0	64.0	0.0	815.0	0.0	0.0
57.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82676.0	72.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
184827.0	151.0	0.0	11.0	5.0	27.0	8.0	0.0	0.0
97783.0	511.0	0.0	17.0	0.0	0.0	8.0	0.0	0.0
3673.0	902.0	0.0	0.0	90.0	0.0	10.0	0.0	0.0
45.0	0.0	0.0	9.0	0.0	0.0	13.0	0.0	0.0
142608.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
18375.0	36017.0	0.0	30587.0	14485.0	0.0	0.0	0.0	0.0
176721.0	10533.0	0.0	0.0	18.0	0.0	14.0	0.0	0.0
25268.0	16101.0	0.0	27592.0	480.0	0.0	336.0	0.0	0.0
153235.0	24.0	0.0	16.0	14.0	0.0	21.0	0.0	0.0
71810.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62647.0	172.0	0.0	204.0	0.0	0.0	4788.0	0.0	0.0
237451.0	212.0	0.0	0.0	22648.0	10.0	0.0	0.0	0.0
132083.0	0.0	0.0	3.0	0.0	0.0	6481.0	0.0	0.0
1231.0	95.0	0.0	0.0	120353.0	0.0	0.0	0.0	0.0
199015.0	5.0	0.0	0.0	49.0	0.0	111.0	0.0	0.0
93628.0	10201.0	0.0	0.0	54.0	38.0	1017.0	0.0	0.0
170817.0	9.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
83126.0	26.0	0.0	0.0	29306.0	0.0	314.0	0.0	0.0
113353.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
215840.0	0.0	0.0	0.0	44.0	0.0	4.0	0.0	0.0
106253.0	1735.0	4.0	0.0	34.0	0.0	67.0	0.0	5.0
124885.0	21.0	0.0	0.0	88.0	0.0	3854.0	0.0	0.0
89552.0	4018.0	961.0	7.0	4.0	0.0	12.0	0.0	0.0
128932.0	30.0	6.0	0.0	0.0	90.0	6.0	0.0	1511.0
164923.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
39620.0	0.0	0.0	0.0	60720.0	0.0	93.0	0.0	0.0
166583.0	0.0	0.0	0.0	18.0	0.0	13.0	0.0	0.0
180797.0	1119.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
86126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131236.0	654.0	0.0	0.0	88555.0	0.0	421.0	10886.0	0.0
138049.0	0.0	77.0	4.0	58664.0	99.0	16.0	0.0	31.0
