metagene,log2foldchange_After abduction,q-value_After abduction
K00030,-2.254678855144932,0.0368950986625365
K00042,-1.6414904719325394,0.0125490769265644
K00076,-2.0081295329276814,0.0252879892426307
K00087,-1.8069332146054584,0.0208149136706898
K00108,1.880563735336316,0.0125585860190535
K00179,-2.06212364717613,0.0445663763610929
K00194,-2.6222479108420065,0.00031086544375087227
K00196,-2.39580144850688,0.0011727319459088
K00197,-2.6164113966415776,0.0003278284700531754
K00198,-2.116415189809389,0.0018025013644464
K00208,1.7517252847157183,0.0274895594712269
K00226,1.8216027205124397,0.0169144489546697
K00253,1.544822601529681,0.0421300624714503
K00284,-2.144346766738343,0.0002961009271689667
K00335,-1.4089026815821986,0.0484084045618263
K00371,1.9155028586869056,0.0175202202639264
K00374,1.9125099032906483,0.0140075336818069
K00406,1.7396751940823931,0.0485339136680956
K00426,1.6817298530022156,0.0209276146531449
K00532,-2.245179983483569,0.0498979943621752
K00533,-2.5397201664278093,0.0080855043055778
K00627,1.6430910028664334,0.017525423905956
K00689,-3.2964694933890937,0.00014830925700262055
K00821,-1.5004322617135877,0.0150154524377943
K00822,1.5378306012522809,0.0474629932788801
K00879,-1.8068585185661368,0.0285215249934405
K00952,-2.689326377302057,0.0281465831653579
K01002,-1.9903474573710491,0.0026514545526535
K01075,1.548622191558842,0.0497689381264776
K01267,-1.8728053047176931,0.0144522963403634
K01286,-1.5558488641694126,0.0045068947367177
K01308,-2.345839418425602,0.0069632836051796
K01419,2.000987473938048,0.0295947292943644
K01444,-2.6407259027425445,0.0026644355576957
K01449,-2.380683920278852,0.00031361289101009964
K01464,-1.5196364814386527,0.0284644574859974
K01567,-2.610706312855027,2.237245828987988e-05
K01575,1.892121793992939,0.0193130756373829
K01669,1.997304377827149,0.0033353479126569
K01677,-1.9007100046769767,0.0111993905967482
K01678,-1.9102521689543777,0.0093378408887882
K01821,1.6136021817399355,0.0292652769273982
K01968,1.5590450157107782,0.0402923492904765
K02002,1.9520417710860207,0.0046727946024624
K02099,-1.6510238731951734,0.01352801838966
K02258,1.5443954908178776,0.0421766151872288
K02424,2.2059209601929237,0.0023349828761895
K02431,-1.959082395598592,0.0008072833752066672
K02538,2.408122935150689,0.0195510335475035
K02598,-2.008488944863545,0.0011376711994924
K02650,-2.1637743755367964,0.0356697727195996
