metagene,log2foldchange_After abduction,q-value_After abduction,se,name
K03893,1.947133237782089,0.0250528773917291,0.4255650922182468,arsenical pump membrane protein
K16013,1.9474215819701723,0.0075018230675062,0.4037335372706916,"ATP-binding cassette, subfamily C, bacterial CydD"
K02002,1.9520417710860207,0.0046727946024624,0.3969694506334214,glycine betaine/proline transport system substrate-binding protein
K03293,1.9603622271631744,0.0291528539235574,0.4315074757331857,"amino acid transporter, AAT family"
K05520,1.9650940592594248,0.0095955714958539,0.4116310633265237,deglycase [EC:3.5.1.124]
K01669,1.997304377827149,0.0033353479126569,0.4007989487636029,deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K01419,2.000987473938048,0.0295947292943644,0.4407651748127093,"ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
K03667,2.016689750977852,0.0261296372869035,0.441629946055911,ATP-dependent HslUV protease ATP-binding subunit HslU
K05845,2.017471855987849,0.0020868723054327,0.3976356052776523,osmoprotectant transport system substrate-binding protein
K03638,2.0183533250880545,0.0255993150449366,0.4415747513173097,molybdopterin adenylyltransferase [EC:2.7.7.75]
K03328,2.05290973209698,0.037260437517969,0.4571540663056046,"polysaccharide transporter, PST family"
K10009,2.098518641722388,0.0022476590110378,0.4147768229437376,L-cystine transport system permease protein
K16012,2.11054638614867,0.0034406577122166,0.4240381871250411,"ATP-binding cassette, subfamily C, bacterial CydC"
K10010,2.1409415045018694,0.0041838861362577,0.4334707679507334,L-cystine transport system ATP-binding protein [EC:7.4.2.1]
K03635,2.1959201294288606,0.0035878908471432,0.44192157235447,molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K02424,2.205920960192924,0.0023349828761895,0.436635910934655,L-cystine transport system substrate-binding protein
K05340,2.218735167214515,0.0168502774964447,0.4762813061748469,glucose uptake protein
K02538,2.408122935150689,0.0195510335475035,0.5203963452429972,mannose operon transcriptional activator
K08996,2.4425097554746324,0.0114102013315203,0.5154377814848795,putative membrane protein
K14194,3.079944477715898,0.0298572237862508,0.6787155893495682,serine-aspartate repeat-containing protein C/D/E
